node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('B0 + M0', '2*M0*M1*y', 'M0 + M1'))",7.889288803433242e-53,2.6297629344777476e-53,2.074695927465904e-105,3,0.04548096112476963,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,13,1
"('INTERNAL', ('B0', 'M0', 'M0'))",0.0,0.0,0.0,3,0.0,0.0,0.0063094632097098705,0.6023646356164746,True,True,0,1
"('INTERNAL', ('M0 - M1', 'M0', 'M0'))",0.0,0.0,0.0,3,0.048827558609512156,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0', 'x', 'M0'))",0.0,0.0,0.0,3,0.01257911709342506,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,10,1
"('INTERNAL', ('M0', 'y', 'M0'))",0.0,0.0,0.0,3,0.038933217868938115,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,10,1
"('INTERNAL', ('M0', 'M0*M1', 'M0'))",0.0,0.0,0.0,3,0.05756727550993898,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0', 'M0*M2 + M1*M2', 'M0'))",0.0,0.0,0.0,3,0.05695312477803235,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 + M1', 'M0*M2 + M1*M2', 'M0'))",0.0,0.0,0.0,3,0.05627073507591387,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 + M1', 'M0*M1 + M1*y', 'M0'))",0.0,0.0,0.0,3,0.05551252429578222,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 + M1', '2*M0*y', 'M0'))",0.0,0.0,0.0,3,0.05467006787341372,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 + M1', '2*M0*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.05373400518189317,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 + x', '2*M0*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.05269393552464811,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 - M1 + x', '2*M0*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.051538302572153596,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('M0 - M1 + x', '2*M0*M1*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.05025426595827081,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('B0 - M0 + x', '2*M0*M1*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.048827558609512156,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('B0 - M0 + M1 + x', '2*M0*M1*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.04724232822200254,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,16,1
"('INTERNAL', ('B0 + M0', '2*M0*x*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.043523886572288624,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,10,1
"('INTERNAL', ('B0 + x', '2*M0*x*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.04134935929175417,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,8,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0 + M1'))",0.0,0.0,0.0,3,0.038933217868938115,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,5,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0 + M1 + M2'))",0.0,0.0,0.0,3,0.03624861628803138,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,5,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0 + M1 + y'))",0.0,0.0,0.0,3,0.03326572564257946,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,5,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0 + M1 + M2 + y'))",0.0,0.0,0.0,3,0.029951402703188426,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,5,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0 + M1 + 2*y'))",0.0,0.0,0.0,3,0.02626882165942062,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,5,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'M0*M1 + M2 + 2*y'))",0.0,0.0,0.0,3,0.022177064944123054,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,2,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'B1*M0 + M1 + 2*y'))",0.0,0.0,0.0,3,0.017630668593792427,9.617598226178716,0.0063094632097098705,0.6023646356164746,False,False,2,1
"('INTERNAL', ('B0 + x', '2*x**2*y', 'B1*y + M0'))",0.0,0.0,0.0,3,0.01257911709342506,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,2,1
"('TERMINAL', ('B0 + x', '2*x**2*y', 'B1*y'))",0.0,0.0,0.0,3,0.0,0.0,0.0063094632097098705,0.6023646356164746,True,False,0,1
"('INTERNAL', ('M0 + M1', 'y', 'M0'))",0.0,0.0,0.0,3,0.03624861628803138,9.751886116991583,0.0063094632097098705,0.6023646356164746,False,False,10,1
