rank,reward,equations,equations_with_constants
1,3.4103982894722286e-44,B0 + B1*x**2 + x ; B2*y + B3*y**2 + B4*x*y ; B5*y + B6*y**2,5.70899782270986e-5*x**2 + x - 0.0673598954532322 ; 0.0991712866040208*x*y + 0.00138638123141824*y**2 - 0.0139759698063523*y ; 0.00217408469647341*y**2 + 1.46998128298519*y
2,3.0002547623035547e-44,B0 + B1*x ; B2*x**2 + B3*x*y ; B4 + B5*y,0.994748882583402*x + 0.0677573893942031 ; -0.000330707387562399*x**2 + 0.100443455887974*x*y ; 1.51046557768693*y - 0.0880769393593197
3,2.6540515401342485e-44,B0 + x ; B1*x*y ; B2 + B3*y,x - 0.0092487829039968 ; 0.099817416119919*x*y ; 1.50273538846367*y - 0.00999152164609578
4,2.204033369239491e-44,B0 + x ; B1*x*y ; B2*y,x + 0.00619260769423193 ; 0.0997973987183434*x*y ; 1.49959059755766*y
5,6.7067981652317015e-102,B0 + B1*x**2 ; B2*x*y ; B3*y + B4*y**2,0.0334080439570082*x**2 + 6.55796220143558 ; 0.102805713147743*x*y ; 0.00107354446072348*y**2 + 1.50836353995816*y
6,6.8521398308819675e-221,B0 + B1*x ; B2*y + B3*x*y + B3*y**2 ; B4*y**3,1.09404721395725*x - 8.03318524828747 ; 0.0946093568725532*x*y + 0.0946093568725532*y**2 - 1.74410775935075*y ; 0.00449738678856182*y**3
7,0.0,x ; B0*x ; B1 + B2*y,x ; 0.979209362740612*x ; 13.8864714303111*y + 229.867984521176
8,0.0,B0 + B1*x ; B2*x*y + x**2*y - x - y**2 ; B3*y,0.234083343849358*x + 46.7149252917649 ; x**2*y + 0.00868578882563793*x*y - x - y**2 ; 40.9897802887667*y
9,0.0,B0 + B1*x ; B2 + 2*y ; B3*y**2 - y**3,0.921816936304475*x + 2.14650657362498 ; 2*y + 7.83971543858499 ; -y**3 + 6.52785733684714*y**2
10,0.0,B0*x + B1*x**3 ; B2 + B3*x ; B4*y + y**2,-0.00312350765849518*x**3 + 3.73629166691199*x ; 2.93194717606457*x + 0.463825933837009 ; y**2 - 1.92172314653571*y
11,0.0,x ; x ; B0*y + B1*y**2,x ; x ; 0.0507052910196141*y**2 + 14.3877768700468*y
12,0.0,B0 + B1*x ; y ; y,76.3801917528181 - 4.59302118046004*x ; y ; y
13,0.0,B0 + B1*x ; B2*y + B3*y**2 ; B4*y + B5*y**3,0.487268702105743*x + 0.0587267033070781 ; 0.0523191206519981*y**2 + 0.186672145231126*y ; 0.0086506237766669*y**3 - 0.181112967761428*y
14,0.0,x ; B0 + B1*y ; B2 - y,x ; 15.5514385199367 - 1.07620890492921*y ; 14.9999999943286 - y
15,0.0,x ; x**2 + x*y ; y,x ; x**2 + x*y ; y
16,0.0,x ; -x*y + x ; y,x ; -x*y + x ; y
17,0.0,B0 + B1*x ; x ; B2 - y,0.166018218314513*x + 11.6886996193538 ; x ; 16.8260169316212 - y
18,0.0,x ; x ; B0 - y,x ; x ; 14.9999999914979 - y
19,0.0,B0*x**2 + x ; B1*y - x*y + y**2 ; B2*y,2.63230017136243*x**2 + x ; -x*y + y**2 - 0.539381597321581*y ; 2.73184622526625*y
20,0.0,B0 + B1*x**2 + x**3 ; B2*y - y**2 ; y**2,x**3 + 1.8248464779484*x**2 + 0.00304801054396952 ; -y**2 + 13.496479435017*y ; y**2
21,0.0,B0*x - 2*x**2 ; B1*x*y + B2*x*y**2 ; B3 + B4*y,-2*x**2 + 7.97628582998937*x ; -0.0674105906311521*x*y**2 + 0.13542137849954*x*y ; -4.24718272504285*y - 5.36491917290397
22,0.0,x ; x*y ; B0 + B1*y,x ; x*y ; 16.9960529078431*y - 1.4805495898666
23,0.0,B0 + B1*x ; B2 + B3*x + B4*y ; B5 + y,0.958712388004309*x + 7.27559213694933 ; 1.17766613670669*x + 1.22354690184252*y - 8.52435537128046 ; y + 11.3739545322769
24,0.0,B0 + B1*x ; B2*x + 2*x**2 - x*y ; y,0.517574729689702*x + 0.0771307772170455 ; 2*x**2 - x*y - 0.526708282899713*x ; y
25,0.0,B0 + B1*x ; B2*x + B3*x*y + B3*y ; B4 + B5*y - y**2,11.9606894928396 - 0.828966796912919*x ; 0.00804902864501714*x*y - 0.897185455794242*x + 0.00804902864501714*y ; -y**2 + 2.87715822852804*y + 0.715917415915282
26,0.0,B0 + B1*x ; x**2 ; y,3.08237409949404*x + 1.28311417035587 ; x**2 ; y
27,0.0,x ; x*y ; B0 - y,x ; x*y ; 3.95190079579043 - y
28,0.0,x ; B0*x ; B1 + B2*y**2,x ; 0.979323347839613*x ; 0.25410899575465*y**2 - 11.8723150036981
29,0.0,B0*x**2 ; B1*x + B1*y ; B2 + y,0.018288987701734*x**2 ; 0.097653416281392*x + 0.097653416281392*y ; y - 7.88669462378522
30,0.0,x**2 ; B0 + B1*x*y ; y,x**2 ; 0.00951551684876449*x*y + 0.671131723225474 ; y
31,0.0,B0*x ; B1*x*y**2 ; y,0.00317439994452651*x ; -0.151018510806689*x*y**2 ; y
32,0.0,B0*x ; B1*x ; y,0.7551266957115*x ; 0.735942738799224*x ; y
33,0.0,B0 + x ; x*y + y**2 ; B1 + B2*y,x + 173.390440386105 ; x*y + y**2 ; 26.1427496586665*y - 25.2605590279652
34,0.0,B0 - x ; B1*y + B2*y**2 ; B3*y,58.2725989794428 - x ; -0.128157557780466*y**2 + 5.54482597138453*y ; 4.23947775196972*y
35,0.0,B0*x + B1*x**3 ; x*y ; B2 + B3*y**2 + B3*y,0.0184303173022397*x**3 + 4.62732323473795*x ; x*y ; 1.54300269883229*y**2 + 1.54300269883229*y + 0.210592079842853
36,0.0,B0*x**3 ; B1*x - 2*x*y ; B2 + 3*y,1.64920942335068*x**3 ; -2*x*y + 5.20427179998103*x ; 3*y - 1.10281355147368
37,0.0,x ; B0*x*y ; y,x ; 0.104814649594896*x*y ; y
38,0.0,x ; B0*y + y**2 ; B1 + y,x ; y**2 - 15.9642908184239*y ; y + 18.7993698659701
39,0.0,B0 + x ; x**2 + x*y ; B1 + B2*y,x + 193.988132038159 ; x**2 + x*y ; 3.58315818909173*y + 178.627157218574
40,0.0,B0 + B1*x ; B2*y - x*y + y**2 ; B3 - y,-1.93347863814748*x - 130.167921411039 ; -x*y + y**2 - 17.0142486325432*y ; -y - 157.568890982803
41,0.0,B0*x**2 ; x**3 + 2*x*y ; B1*y,67.5955078177015*x**2 ; x**3 + 2*x*y ; 0.01960711132563*y
42,0.0,B0 + B1*x**2 ; 2*x**3 ; y,68.5366267618793*x**2 + 0.00288294013551823 ; 2*x**3 ; y
43,0.0,x ; 2*y**2 ; y,x ; 2*y**2 ; y
44,0.0,x ; B0 + B1*x + B2*y + x*y ; y,x ; x*y - 0.814764325390114*x - 12.2960850787257*y + 14.9964314676487 ; y
45,0.0,B0 + B1*x**2 ; B2*y + 2*x*y + 2*y**2 ; B3 + B4*y + B5*y**2,22.9944791040708*x**2 + 0.111214563314617 ; 2*x*y + 2*y**2 + 12.5378147769048*y ; 0.0196848976985954*y**2 + 0.00352142481612615*y + 0.00374681991004708
46,0.0,B0*x + B1*x**2 + B2*x**3 ; B3*y + B4*x*y**3 ; B5 + B6*y,0.389608071852223*x**3 + 91.6613385302963*x**2 + 0.0640818801694058*x ; -0.000404187627638754*x*y**3 + 68.1886489945747*y ; 60.8638256571355*y - 10.3081378233073
