rank,reward,equations,equations_with_constants
1,0.8591179584601133,B0*i*s ; B1 + B2*i,0.399008002878844*i*s ; 0.100256209844989*i - 0.000210921555815862
2,0.8587499517180363,B0*i*s ; B1*i,0.401522006129248*i*s ; 0.0994533191231134*i
3,0.8426303805869583,B0 + B1*i*s ; B2*i + B3*r,0.410248005832934*i*s - 0.000427437086939426 ; 0.100800019614387*i - 0.000755552852375356*r
4,0.8423903660552701,B0*i*s ; B1*i + B2*r,0.402826741445499*i*s ; 0.100203568608009*i - 0.000347458216722057*r
5,0.8419775309834007,B0 + B1*i*s ; B2*i,0.398623708772219*i*s + 0.000217256007443689 ; 0.0996034282066478*i
6,0.8338336101593873,B0*i*s ; B1 + B3*sqrt(Abs(B2 + i)),0.399843464310411*i*s ; 0.240590376710953*sqrt(Abs(i + 1.26411160418118)) - 0.270945010028486
7,0.8332649281741862,B0*i*s ; i*sqrt(Abs(B1 + B2*i)),0.400899990155057*i*s ; i*sqrt(Abs(0.000618052657325285*i + 0.0096980568374634))
8,0.8332464555532848,B0*i*s ; i*sqrt(Abs(B1*r + B2)),0.401169228019786*i*s ; i*sqrt(Abs(0.000102089637711382*r + 0.00984734585904455))
9,0.8332464539697471,B0*i*s ; i*sqrt(Abs(B1 + B2*r)),0.401172750477566*i*s ; i*sqrt(Abs(0.000100935999744637*r + 0.00984780063575865))
10,0.8298774934677509,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.411515972144141*i*s ; 0.0743196953734849*sqrt(Abs(i)) - 0.0106933394893425
11,0.8260624802749826,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.40048472588198*i*s + 0.00939815145870299*i ; 0.102441874233674*i - 0.000823396450376448*r + 0.000354822313511531
12,0.8260480154196039,B0*s + B1*i*s ; B2 + B3*i,0.409316648106907*i*s - 0.000893090919213952*s ; 0.101946121124435*i - 0.000452446566986452
13,0.8259535128024136,B0*i + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.390442992445892*i*s + 0.0137595033931349*i ; 0.104596090272707*i - 0.000492439537489473*sqrt(Abs(r))
14,0.8255677064921537,B0*i + B1*i*s ; B2 + B3*i,0.383968444840037*i*s + 0.0144510306182368*i ; 0.104858395479025*i - 0.000379674995579233
15,0.8254993494379051,B0*i + B1*i*s ; B2 + B4*sqrt(Abs(B3 - i)),0.378709241867318*i*s + 0.0192303290830618*i ; 0.676142534160916 - 0.374032461497922*sqrt(Abs(i - 3.27100111470941))
