node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0', 'M0*M1'))",0.7023380192137633,0.04978554967907443,0.022772618742974357,89,1.014262495222856,9.307342783980861,0.02450717433316409,0.13582482755246067,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.8298774934677509,0.0689956515722749,0.02906834418024833,44,1.0883974297560608,9.513963540400082,0.028779618469405476,0.2090058020807117,False,False,14,2
"('INTERNAL', ('M0 - M1', 'M0'))",0.5015868215476553,0.06115755538832875,0.016411491937348744,25,0.706244911722391,9.402780642646007,0.016770160502759035,0.22616738800830902,False,False,14,1
"('INTERNAL', ('M0*M1', 'M1*sqrt(Abs(M0))'))",0.7284969069817694,0.09139181525246001,0.04706140174177145,12,0.9587487401159124,9.700433776267214,0.021710540875127648,0.37001600212850566,False,False,14,2
"('INTERNAL', ('M0', 'M0 - M1'))",0.12029281445159246,0.015288251613502196,0.0012676937757882356,11,0.5922955256983368,9.75823694646567,0.0038962047575036747,0.2872536452125002,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0'))",0.024444407474851514,0.003054128609951865,5.7749304747127367e-05,11,0.4056884623274854,9.751886116991583,0.0024166867210397673,0.2692770459897542,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.024295975834528336,0.006367415282809308,8.639313435982905e-05,11,0.8206709890802946,9.751886116991583,0.0027792499753418313,0.27423150628166815,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0))', 'M0'))",0.014179512260908817,0.0013760044341833613,1.81146259829884e-05,11,0.3736237544520091,9.751886116991583,0.0022438741373943714,0.26674136135090454,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0'))",0.007900433860166868,0.0027227732146623542,7.061795628759826e-06,11,1.014262495222856,9.751886116991583,0.0023819878215409467,0.2687777933306864,False,False,14,1
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.0041634715041502365,0.0009990384737712085,2.9618441901487874e-06,11,0.5034480123887388,9.751886116991583,0.0022060537752436127,0.26616924356314825,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M2 - M1*M2'))",0.6830881315267527,0.10388411927587388,0.05493917990125706,8,0.7485773555297836,9.758003218334308,0.022135617758612197,0.460379511016573,False,False,14,2
"('INTERNAL', ('i', 'M0'))",0.007066557079199908,0.0022151710366202244,7.135477036638482e-06,8,0.0860218063094894,9.619274471803543,0.0030231444245022083,0.3392866446282529,False,False,7,2
"('INTERNAL', ('M0', 'B0'))",0.0,0.0,0.0,8,0.0,0.0,0.0028091367465992163,0.3362671168799428,True,True,0,6
"('INTERNAL', ('M0', 'M0*i'))",0.47080008648817867,0.08691642847929473,0.031174619766168036,7,1.0883974297560608,9.751886116991583,0.017166165353136052,0.47029654240851165,False,False,14,1
"('INTERNAL', ('M0', 'i'))",0.01807623638632469,0.0045612607898023304,4.177382574227875e-05,7,0.12740975577372105,9.617901629823644,0.0036014968361627467,0.37528375947374143,False,False,7,1
"('INTERNAL', ('s', 'M0'))",0.00041565198898210396,0.00023472705849484038,2.7289947886173047e-08,7,0.05626960172158286,9.618776324134299,0.0031816499068226733,0.3697205828551214,False,False,7,1
"('INTERNAL', ('M0', 'r'))",7.844186367586094e-62,1.120602253916232e-62,8.790168981580168e-124,7,0.06270235719544837,9.618788366294332,0.003159723531251909,0.3694166475528192,False,False,7,1
"('INTERNAL', ('M0*M1', 'M0*i'))",0.6778885552229388,0.2525638807355912,0.09682228567432934,6,1.1363376694434246,9.758448441332465,0.06569352725697847,0.6496643900941077,False,False,14,2
"('INTERNAL', ('M0*M1*M2', 'M0*M1'))",0.41384998455854893,0.11666603809953292,0.031150207386667482,6,1.123081520896934,9.822949056564626,0.02325481638897086,0.5332381076044425,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.2262233519989422,0.05913253424244592,0.006879043155560038,6,0.0,9.900000000000002,0.01137444958946572,0.4759809764918735,False,False,0,6
"('INTERNAL', ('M0', 'B0*M0'))",0.13217812136474727,0.02211046951577371,0.002907599225576043,6,0.9202858941662868,9.751886116991583,0.0059630476195673045,0.4355292189984408,False,False,14,2
"('INTERNAL', ('M0 + M1', 'M0*M1'))",0.023970644248286467,0.006482982827018955,9.031310305694319e-05,6,0.4460631213421051,9.752954269877263,0.004231653119590848,0.41737053077235836,False,False,14,2
"('INTERNAL', ('M0 - M1', 'M0*M1'))",0.023902250864899447,0.008450000660297455,0.00014017203553073868,6,0.6524632218999038,9.652570966178173,0.004431390977930403,0.4196965523486989,False,False,14,2
"('INTERNAL', ('B0', 'M0*M1'))",0.0,0.0,0.0,6,0.0,0.0,0.0036102968619005863,0.4096163972250034,True,True,0,4
"('INTERNAL', ('sqrt(Abs(M0))', 'M0*M1'))",0.0,0.0,0.0,6,0.17460199290556153,9.751886116991583,0.0036102968619005863,0.4096163972250034,False,False,14,2
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.6575214318062361,0.17237298969141224,0.07610102943243129,5,0.7869420712699248,9.835670988947571,0.03552180286063191,0.6194713330181383,False,False,14,3
"('TERMINAL', ('B0 + B1*i + s', 'B2*i'))",0.48344927456719344,0.48344927456719344,0.0,5,0.48344927456719344,0.48344927456719344,0.15825037723625815,0.8244355778867931,True,False,0,2
"('INTERNAL', ('M0', 'M0*M1*M2'))",0.14057679653557653,0.03763394101109823,0.0034523820313523265,5,0.7794336675256156,9.751886116991583,0.008349370745523398,0.49880097184778066,False,False,14,1
"('INTERNAL', ('M0', 'M1*sqrt(Abs(M0))'))",0.14057679653557653,0.033323737817289964,0.0037219145953146762,5,0.9024222415700536,9.751886119915945,0.007795695751904998,0.4944364152493259,False,False,14,1
"('INTERNAL', ('M0', 'M0*M2 + M1*M2'))",0.051744844597354275,0.012139268175574777,0.0005052122672179718,5,0.7452028231537836,9.75237187290129,0.005374141155037446,0.4723845366016612,False,False,14,1
"('INTERNAL', ('i', 'B0*M0'))",0.042435593918913744,0.009836636142844368,0.0003406278078885015,5,0.09262769111529676,9.753710533778642,0.005140951245261639,0.46992364802602793,False,False,7,3
"('INTERNAL', ('B0 + M0', 'B1*r + i*r'))",0.025157886690241143,0.014644386062414482,0.0001789263159928507,5,0.07110041483401969,9.758118042241003,0.005634512257283635,0.47504695813929143,False,False,7,3
"('TERMINAL', ('B0 + B1*i + B2*s', 'r'))",0.02443709565093511,0.02443709565093511,0.0,5,0.02443709565093511,0.02443709565093511,0.006719183391581783,0.48531090379245906,True,False,0,1
"('INTERNAL', ('M0', 'B0*sqrt(Abs(M0))'))",0.023725514239053648,0.009410062040645767,0.0001660416243988623,5,0.6029406119711921,9.753662080718682,0.005098396281206185,0.46946630055063965,False,False,14,3
"('INTERNAL', ('M0', 'M0*r'))",0.01860613675516276,0.003721227351032552,6.923766499036373e-05,5,0.07150248986971783,9.751886116991583,0.004550104105462343,0.46332266386068666,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0*M1 + M2))', 'B0*r + B1*i*r'))",0.004211560199440599,0.0008423120398881198,3.547447862702428e-06,5,0.022794619745879704,9.751886116991583,0.004286227562320194,0.4601813897421359,False,False,3,1
"('INTERNAL', ('M0', 'M0*M2 - M1*M2'))",0.0024951790818067807,0.0006176498437217296,1.1675485475512324e-06,5,0.7102505734101517,9.753874801277533,0.004266018525746828,0.4599353231509875,False,False,14,1
"('INTERNAL', ('sqrt(Abs(-M0 + M1 + M2))', 'B0*M0 + B1*M1'))",9.332233499117087e-06,1.8664509261835371e-06,1.7418096695808197e-11,5,0.2334585497687296,9.75384673220972,0.004210910914413384,0.45926017438528677,False,False,14,3
"('INTERNAL', ('B0', 'M0'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('TERMINAL', ('B0', 'r'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('INTERNAL', ('M0*M2*M3 + M1*M2*M3', 'B0*i'))",0.8587499517180363,0.7208635488177998,0.05925647965977854,4,0.8676239946473328,9.87735484568281,0.2651906190490376,0.9385261160218461,False,False,7,2
