rank,reward,equations,equations_with_constants
1,0.8606892937785713,B0*i*s ; B1 + B2*i,0.395113549437568*i*s ; 0.101435484161865*i - 2.474141385675e-5
2,0.8606845245082465,B0*i*s ; B1*i,0.395396079067991*i*s ; 0.101340179402359*i
3,0.8435592243537459,B0 + B1*i*s ; B2*i,0.395151099395775*i*s + 1.89892116197003e-5 ; 0.101353226955605*i
4,0.82907937043548,B0 + B1*i*s ; B2*sqrt(Abs(i)),0.388274568085761*i*s + 0.00847807772151518 ; 0.0567191619649615*sqrt(Abs(i))
5,0.8284244093001877,B0*i + B1*i*s ; B2*i + B3*sqrt(Abs(r)),0.369654327244356*i*s + 0.0306264059761384*i ; 0.111429383789094*i - 0.000444959290267063*sqrt(Abs(r))
6,0.8282441526165207,B0*i + B1*i*s ; B2 + B3*i,0.361796805068469*i*s + 0.0331025322288422*i ; 0.112476828722923*i - 0.000401649003634223
7,0.8280548168683463,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.400301083351613*i*s - 0.00279818516348151*s ; 0.108715581164671*i + 0.00202512466770467*r - 0.00238596181839596
8,0.8279307185455203,B0*s + B1*i*s ; B2 + B3*i,0.409897177247494*i*s - 0.00123766645807867*s ; 0.10367370997224*i - 0.000310001758550087
9,0.8275658798470905,B0*i + B1*i*s ; B2*i,0.378663411505137*i*s + 0.0188204248891371*i ; 0.106633694478572*i
10,0.8274673611451274,B0*s + B1*i*s ; B2*i + B3*i**2,0.406695490885568*i*s - 0.000760530113538926*s ; -0.000792187370589068*i**2 + 0.102278251198571*i
11,0.8274666357379251,B0*s + B1*i*s ; B2*i,0.406851177669029*i*s - 0.000781424686243293*s ; 0.102054604964936*i
12,0.8272884555590236,B0*i*s ; B1*i + B2*i*r,0.38964818114803*i*s ; 0.00853121420695415*i*r + 0.0977254187257807*i
13,0.8272548463583465,B0*s + B1*s**2 ; B2*i + B3*i**2,-0.266474397287822*s**2 + 0.269506824941105*s ; 0.0824195886279289*i**2 + 0.0818952667484807*i
14,0.8270980213340653,B0*i*s ; B1*i + B2*i**2,0.398002935961888*i*s ; -0.0131923572480446*i**2 + 0.105386609319653*i
15,0.8258258629812825,B0*s + B1*s**2 ; B2*i + B3*sqrt(Abs(r)),-0.256760771018952*s**2 + 0.261214640232815*s ; 0.108265313240466*i - 0.000913270904955781*sqrt(Abs(r))
16,0.8250593632580259,B0*s + B1*s**2 ; B2 + B3*i,-0.256028699619165*s**2 + 0.26035374932824*s ; 0.109575975623013*i - 0.0008592177652764
17,0.8233926470597214,B0*s + B1*s**2 ; sqrt(Abs(B2 + B3*i**2)),-0.251360804807729*s**2 + 0.256308489945335*s ; sqrt(Abs(0.011122537928994*i**2 - 9.66282139713485e-7))
18,0.8219507970973554,B0*s + B1*s**2 ; B2*i,-0.250851634111628*s**2 + 0.255869331025161*s ; 0.105252924149853*i
19,0.8190704235788355,B0*i + i*Abs(s)**(1/4) ; B1*i,i*Abs(s)**(1/4) - 0.650656942322185*i ; 0.0856188202472748*i
20,0.8155486024097115,B0*i + B1*i*sqrt(Abs(s)) ; B2*i + B3*i*r,0.60691938190156*i*sqrt(Abs(s)) - 0.24781802055528*i ; 0.00524448791270512*i*r + 0.0843929228026479*i
21,0.8148063938557247,B0*s + B1*Abs(s)**(3/2) ; B2 + B3*i,0.418405529945049*s - 0.410009830298809*Abs(s)**(3/2) ; 0.110304697419304*i - 0.00101245400469584
22,0.8117546171188852,B0*i**2 + B1*i*s ; B2*Abs(i)**(1/4) + B3*i,0.0362523453944104*i**2 + 0.383682142298303*i*s ; 0.108524460240169*i - 0.00149522780550262*Abs(i)**(1/4)
23,0.8117291936775531,B0 + B1*i + B2*i*s ; B3*i,0.361076495299186*i*s + 0.0328324444893842*i + 0.000429292295137915 ; 0.111192154232324*i
24,0.811431016567131,B0*s**2 + B1*i*s ; B2*i + B3*r,0.409765935599778*i*s - 0.000985232053070344*s**2 ; 0.102910907508693*i - 0.000273656380175148*r
25,0.8110720741190077,B0*s**2 + B1*i*s ; B2*i + B3*i*r,0.402563841856656*i*s - 0.000663225987506014*s**2 ; 0.00253330816660078*i*r + 0.100907689052972*i
26,0.8110486804643467,B0*s**2 + B1*i*s ; B2*i,0.406191434122669*i*s - 0.000802302761501547*s**2 ; 0.102128186629433*i
27,0.8109361813625938,B0 + B1*s + B2*s**2 ; B3*i + B4*r,-0.300549624720272*s**2 + 0.328345602141548*s - 0.0250284946101077 ; 0.0972512382111401*i - 0.000545827639109477*r
28,0.8109147755149421,B0*s + B1*i*s ; B2*Abs(i)**(3/2) + B3*i*r,0.322922677790904*i*s - 0.000481537537315612*s ; 0.0788229593741057*i*r + 0.130891113326674*Abs(i)**(3/2)
29,0.8107710567741736,B0 + B1*s + B2*s**2 ; B3 + B4*i,-0.306079247852777*s**2 + 0.337048395634807*s - 0.028483244982874 ; 0.0970998963122394*i - 0.000447559478867176
30,0.8099296206082051,B0*i + i*sqrt(Abs(s)) ; B2*i*sqrt(Abs(B1 + r)),i*sqrt(Abs(s)) - 0.698895796329338*i ; 0.150019212123426*i*sqrt(Abs(r - 1.0547752798994e-5))
31,0.8013710093460579,B0*s + B1*s**2 ; sqrt(Abs(B2 + B3*i**3)),-0.287157235129454*s**2 + 0.287946865356333*s ; sqrt(Abs(0.0411836879684779*i**3 + 3.2330259976432e-6))
32,0.8003882764952317,B0*i + i*sqrt(Abs(s)) ; B1*i + B2*i*r,i*sqrt(Abs(s)) - 0.673487648778531*i ; 0.177287472156825*i*r + 0.0220215185276777*i
33,0.8002365731151015,B0*s**2 + B1*s*sqrt(Abs(i)) ; B2*i + B3*i*r,-0.0296541241308*s**2 + 0.22703847747461*s*sqrt(Abs(i)) ; 0.0354107748427909*i*r + 0.0879123803753175*i
34,0.7978905570672646,B0*s**2 + B1*i*s ; B2 + B3*r**4,0.592888605203309*i*s + 0.0234318776181226*s**2 ; 0.0290166242011952 - 0.030052202876037*r**4
35,0.7969069890747013,B0*s**2 + B1*s*sqrt(Abs(i)) ; B2*i,-0.0335528024877925*s**2 + 0.252422631338045*s*sqrt(Abs(i)) ; 0.10391246190535*i
36,0.795463087287519,B0*i ; B1*i - i*r,-2.67883075023259*i ; -i*r + 0.23690673692969*i
37,0.7949593662283377,B0*i*s + B1*i*s**2 ; B2*i + B3*i*r,-0.0381380810106444*i*s**2 + 0.427875376445763*i*s ; -0.001929931594698*i*r + 0.103297489433457*i
38,0.7949276279170716,B0*i*s + B1*i**2*s ; B2*i + B3*i*r,0.05264638498586*i**2*s + 0.387714185596406*i*s ; 0.0005275056115095*i*r + 0.101780065565978*i
39,0.7938186728209886,B0 + B1*s + B2*s**2 ; B3*i*r + B3*i*sqrt(Abs(B4 + r)),-0.320845643300524*s**2 + 0.361735217332574*s - 0.0386826623914785 ; 0.0015827353461027*i*r + 0.0015827353461027*i*sqrt(Abs(r + 3310.30360796389))
40,0.7935433678285396,B0 + B1*s + B2*s**3 ; B3*i,-0.1802086197951*s**3 + 0.179750563061407*s - 0.000965418376931292 ; 0.104467270070614*i
41,0.7934705309805378,B0*i*s + B1*i**2*s ; B2*i**2 + B3*i*r,0.0076501982845702*i**2*s + 0.289572200937549*i*s ; 0.198284779482475*i**2 + 0.111006968568004*i*r
42,0.793441729741125,B0*i*s + B1*i**2*s ; B2*i**2 + B3*i*sqrt(Abs(r)),0.0085166167807879*i**2*s + 0.288930718178307*i*s ; 0.134800769265128*i**2 + 0.107319714102284*i*sqrt(Abs(r))
43,0.788914620275134,B0*s + s*sqrt(Abs(i + s)) ; B1*i + B2*i**2,s*sqrt(Abs(i + s)) + 1.73694991893197*s ; -0.024097229252707*i**2 + 0.0937684003949194*i
44,0.7885823681353035,B0*s + s*sqrt(Abs(B1 - i)) ; B2 + B3*r + B4*r*sqrt(Abs(i)),s*sqrt(Abs(i + 0.971043051195904)) - 0.961711297735667*s ; 0.0511145956229974*r*sqrt(Abs(i)) - 0.0366177437024614*r + 0.0297735078266592
45,0.7874331861149351,B0*i*s + B0*s + B1*s**2 ; B2*i + B3*sqrt(Abs(r)),0.162038484865295*i*s - 0.160089981170805*s**2 + 0.162038484865295*s ; 0.10731816405938*i - 0.000701740787288785*sqrt(Abs(r))
46,0.7874271534580356,B0*s + B1*s*Abs(i)**(1/4) ; B2*i,0.315202821710104*s*Abs(i)**(1/4) - 0.11639390971791*s ; 0.10253114838518*i
47,0.7872800521758846,B0*i**2 + B0*s + B1*i*s ; B2*i + B3*r,-0.00101040898896072*i**2 + 0.411492151833171*i*s - 0.00101040898896072*s ; 0.102794956959887*i - 0.000277280390928806*r
48,0.7872168252698848,B0*i*s + B0*s + B1*s**2 ; B2 + B3*i,0.161394989235117*i*s - 0.159739598834921*s**2 + 0.161394989235117*s ; 0.108526202996291*i - 0.000696869149230019
49,0.7859989687574573,B0 + B1*s + B2*i*s ; B3 + B4*i + B5*r,0.398549449099559*i*s + 2.72638091001596*s + 0.291247454667743 ; -0.0489231525060644*i - 2.73305940884458*r + 3.02406212096043
50,0.7846903532925129,B0*i + i*sqrt(Abs(-B1 + i + s)) ; B2*i**2,i*sqrt(Abs(i + s + 1.38690905989783)) - 1.27671502626967*i ; 0.35683516598432*i**2
51,0.7837109158971516,B0 + B1*i**2 + B2*i*s ; B3*sqrt(Abs(i)),-0.0621661110140214*i**2 + 0.416476778292076*i*s + 0.00633536338099862 ; 0.0529040801032666*sqrt(Abs(i))
52,0.7826459492455063,B0*s + s*sqrt(Abs(i + s)) ; B1*i + B2*i*sqrt(Abs(i + r)),s*sqrt(Abs(i + s)) + 1.73629026800699*s ; -0.0935919192240471*i*sqrt(Abs(i + r)) + 0.179340376039691*i
53,0.7799748194420911,B0*i + B1*i**2 + B2*i*s ; B3*i + B4*r,0.0105517302517306*i**2 + 0.378061781042293*i*s + 0.0200862081991047*i ; 0.109035647843103*i - 0.000471782504434541*r
54,0.779927210959913,B0*s + B1*s**2 + B2*i*s ; B3*i + B4*r,0.26073825885065*i*s - 0.0994506765171357*s**2 + 0.100065691356037*s ; 0.105862556166789*i - 0.00048205781346293*r
55,0.7799053518569257,B0*s + B1*s**2 + B2*i*s ; B3 + B4*i,0.273994901939116*i*s - 0.0902722880964962*s**2 + 0.0904337685872031*s ; 0.10680331233089*i - 0.000455035895689208
56,0.7796421384128434,B0*s + B1*s**2 + B2*i*s ; B3*i + B4*i*r,0.361345867050995*i*s - 0.0269310777082113*s**2 + 0.0267295076577349*s ; 0.00544815610239992*i*r + 0.1007099746289*i
57,0.7795631619166289,B0*s + B1*s**2 + B2*i*s ; B3*i,0.358849815532392*i*s - 0.0338256133527947*s**2 + 0.0334346110046147*s ; 0.103473006598704*i
58,0.7792695262892569,B0*i + B1*s + B2*s**3 ; B3 + B4*i,0.00761126665104158*i - 0.174510403271185*s**3 + 0.173154558491961*s ; 0.109621638064192*i - 0.000787195687017388
59,0.7790776485108263,B0 + B1*i + B2*i*s ; B3 + B4*i*r,0.416057378066035*i*s - 0.136931051258591*i + 0.0104434720952288 ; 0.15390964828974*i*r + 0.00806557485594011
60,0.7757895069021551,B0*s + B1*i*s + B1*s**2 ; B2*i + B3*i**2 + B4*i*r,-0.635114451427338*i*s - 0.635114451427338*s**2 + 0.647005852612151*s ; -0.0901897807383671*i**2 - 0.0939969820663764*i*r + 0.17934535797189*i
61,0.7751890038541726,B0*s + B1*i*s + B1*s*sqrt(Abs(i)) ; B2*i,0.168398447693059*i*s + 0.168398447693059*s*sqrt(Abs(i)) - 0.0234951070391633*s ; 0.102209689144729*i
62,0.7721275016330982,B0*s**2 + B1*s**2*Abs(i)**(3/2) ; B2 + B3*i + B4*r,0.857025576536644*s**2*Abs(i)**(3/2) - 0.00363180349699699*s**2 ; 0.115514183296419*i + 0.0145582336430054*r - 0.0118666810612207
63,0.7714061717333432,B0*i**2 + B1*i*s ; B2 + B3*i**2*r,-0.217279885169279*i**2 + 0.337665368624577*i*s ; 1.14924783842947*i**2*r + 0.00254542793224863
64,0.7697138506331436,B0*s + B1*i*s + i**2*s ; B2*i + B3*i*r,i**2*s + 0.119229529263919*i*s + 0.0131774279971091*s ; -0.0348215613252867*i*r + 0.119564989860961*i
65,0.7694671412017786,B0*s**2 + B1*s**3 ; B2*i + B3*r,-0.509272315938519*s**3 + 0.501357783900012*s**2 ; 0.0942436370678246*i + 0.00150893688927774*r
66,0.769170762212077,B0 + B1*sqrt(Abs(i)) ; B2*i + B3*i*sqrt(Abs(r)),0.0929831768356693*sqrt(Abs(i)) - 0.00685475135814877 ; 0.288537345399683*i*sqrt(Abs(r)) - 0.000886135852419715*i
67,0.768182529949992,B0*s + B1*s**2 ; sqrt(Abs(B2 + B3*i**2*r)),-0.128296871678889*s**2 + 0.141475457383775*s ; sqrt(Abs(0.0412201236470156*i**2*r - 5.9013718666573e-6))
68,0.7681578257732312,B0*s + B1*i*s + B1*s**2 ; B2 + B3*i,-0.589908503910574*i*s - 0.589908503910574*s**2 + 0.607179740195609*s ; 0.109990568278472*i - 0.000941754561224804
69,0.7680598841116943,B0*s + s*sqrt(Abs(i + s)) ; B1*i + B2*i**2 + B3*r,s*sqrt(Abs(i + s)) + 1.73603918896672*s ; -0.0250548080524557*i**2 + 0.0964519678686073*i - 0.000703183650496862*r
