node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0', 'M0*M1'))",0.7147347758171064,0.03114411396464944,0.012048953848884393,105,1.5311024774119597,9.367945429218128,0.012521413399916312,0.09915632844914848,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.862734920227585,0.16059010081415998,0.0675582271399831,54,1.5850277968806488,9.524001001549422,0.08643815081404163,0.28105276580539634,False,False,14,2
"('INTERNAL', ('M0', 'M0 - M1'))",0.5795292973595708,0.023269580989356303,0.011527205615856484,29,1.0444328742074662,9.455851884307588,0.005033606177626702,0.15502990312482373,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M2 + M1*M2'))",0.7992310317080901,0.17535666422535418,0.074750324213678,24,1.5379095031491505,9.677868301456058,0.07340365282460744,0.3706470761135493,False,False,14,2
"('INTERNAL', ('M0', 'M0*M2 - M1*M2'))",0.6791746158963837,0.07309406018206759,0.04477133697006402,19,1.2926296238857133,9.624545244102107,0.01920715566478089,0.2762346947534741,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0'))",0.10843494432318651,0.020504207172299234,0.001041546216186358,10,1.5311024774119597,9.754104304876982,0.004768636947357795,0.3141403578075316,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*M1 + M0*M1'))",0.8385828435375373,0.3207059934877597,0.1300442638923101,9,1.5812854054700956,9.752864060304187,0.11475263822606432,0.6421054509157189,False,False,14,5
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.14343013627988185,0.015938612968541373,0.00228573123063706,9,0.6470871596463511,9.751886116991583,0.0043184198026751,0.33064591268239546,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.028720512333754514,0.0068487589719247195,0.00015288634604689822,9,1.0499746111130748,9.752158706248752,0.003232616643468211,0.3181643948429693,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0'))",0.02802014884818999,0.005669532252866396,0.0001281369894092179,9,0.7319912748104568,9.75276029184813,0.0031044107969047424,0.31651674706077826,False,False,14,1
"('INTERNAL', ('M0 - M1', 'M0'))",0.027378033394869227,0.005911566300449023,0.00012726575508497062,9,0.9885541477383407,9.751886116991583,0.0031304875995260733,0.3168554803983371,False,False,14,1
