rank,reward,equations,equations_with_constants
1,0.9118979872943793,B0*i*s ; B1 + B2*i,0.39938055285258*i*s ; 0.0997501665222342*i + 3.22382826329321e-6
2,0.8937526251535626,B0 + B1*i*s ; B2 + B3*i,0.399622619034892*i*s - 9.45516591718608e-5 ; 0.100018606111549*i - 8.27572410902471e-5
3,0.8937525785833929,B0 + B1*i*s ; B2*i + B3*r,0.398962925320913*i*s + 1.8299514314147e-5 ; 0.0997101657853711*i + 2.89703079124033e-5*r
4,0.893751967341314,B0*i*s ; B1*i + B2*r,0.399296429039495*i*s ; 0.0997381078380174*i + 1.11603147692725e-5*r
5,0.8937513407239775,B0 + B1*i*s ; B2*i,0.399415330367796*i*s - 5.30627286419551e-6 ; 0.0997592074100781*i
6,0.8848282649566914,B0*i*s ; B1*sqrt(Abs(i)) + B2*i,0.399943424838471*i*s ; 0.0991657167019559*i + 0.000315364728385763*sqrt(Abs(i))
7,0.8802683229131891,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.410154108157481*i*s ; 0.0733295019495753*sqrt(Abs(i)) - 0.0102164196761416
8,0.8782564082786938,B0 + B1*i*s ; B2*Abs(i)**(5/4),0.395226626265115*i*s - 0.00141308552535381 ; 0.134600593549594*Abs(i)**(5/4)
9,0.8763681855636528,B0*i + B1*i*s ; B2 + B3*i,0.381993217704783*i*s + 0.0165900517998339*i ; 0.10505085810745*i - 0.000189101211502399
10,0.8763230622015193,B0*s + B1*i*s ; B2*i + B3*i*r,0.389403694888925*i*s + 0.000275910432455116*s ; 0.00832762394983467*i*r + 0.0959724565192632*i
11,0.8762705046281212,B0*i + B1*i*s ; B2*i + B3*r**2,0.388431876636765*i*s + 0.0125903259189316*i ; 0.103405996643183*i - 0.000127448014152445*r**2
12,0.8762596268680402,B0*i + B1*i*s ; B2*i + B3*i**2,0.381410484898223*i*s + 0.0177023518245943*i ; 0.0103914342361371*i**2 + 0.101426470921936*i
13,0.8762391669270334,B0*i + B1*i*s ; B2*i + B3*i*r,0.394635438494957*i*s + 0.00157147136397434*i ; 0.00484050718380574*i*r + 0.0981170598377526*i
14,0.8761952547087476,B0*i + B1*i*s ; B2*i,0.390918061114121*i*s + 0.00934765005878482*i ; 0.102302136991473*i
15,0.8760520960164775,B0*s + B1*i*s ; B2*i + B3*i**2,0.399818514617563*i*s + 5.98449755582302e-5*s ; -0.00703611746555806*i**2 + 0.101888642256522*i
16,0.8760474741958382,B0*i*s ; B1*i + B2*i**2,0.400554538691549*i*s ; -0.00599540471077956*i**2 + 0.101623234009039*i
17,0.8759853707675825,B0*s + B1*i*s ; B2 + B3*i,0.40093298321511*i*s - 0.000130501413223898*s ; 0.100023202089408*i - 3.58715625935532e-5
18,0.8759790244642472,B0*s + B1*i*s ; B2*i + B3*r**2,0.400743982383834*i*s - 8.67025910751027e-5*s ; 0.0998600757580949*i - 9.31297739533233e-6*r**2
19,0.8759785986490943,B0*s + B1*i*s ; B2*i,0.400642289325119*i*s - 8.21157936656607e-5*s ; 0.0998415644302103*i
20,0.8759735042849145,B0 + B1*i*s ; B2 + B3*i + B4*r,0.398597511183917*i*s - 0.000207136991386344 ; 0.10040913250498*i + 9.37554255804844e-5*r - 0.000258000492871222
21,0.8759700521488508,B0*i*s ; B1*Abs(i)**(1/4) + B2*i,0.399667066140867*i*s ; 0.0995966144672331*i + 6.2561721082663e-5*Abs(i)**(1/4)
22,0.8759683748861794,B0*i*s ; B1 + B2*i + B3*r,0.398634520130608*i*s ; 0.0997906481250393*i + 5.31864670839626e-5*r - 3.81785356503786e-5
23,0.8734995347887858,B0*s + B1*s**2 ; B2*i + B3*i**2,-0.271659549497773*s**2 + 0.274367012839048*s ; 0.0830602556660398*i**2 + 0.0793141942372335*i
24,0.8710368276408443,B0 + B1*i*s ; B2*sqrt(Abs(i)),0.39145017986022*i*s + 0.0081881058122243 ; 0.0558319783601971*sqrt(Abs(i))
25,0.8695438563897703,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.26189906485586*s**2 + 0.266627387890073*s ; 0.0980487091285943*i - 0.00328448445241221*r + 0.00276608432817398
