rank,reward,equations,equations_with_constants
1,0.9509900496802071,B0*i*s ; B1 + B2*i,0.400004703559757*i*s ; 0.100000888040244*i - 1.09135154315507e-7
2,0.9509900495657663,B0*i*s ; B1*i,0.400006156921708*i*s ; 0.100000476309443*i
3,0.9320653477151822,B0 + B1*i*s ; B2*i,0.400004229965524*i*s + 1.31101099188064e-7 ; 0.100000553477819*i
4,0.9135172474609534,B0*s + B1*i*s ; B2*i + B3*i*r,0.400000405452242*i*s + 3.73451635379188e-7*s ; -2.80168256379409e-7*i*r + 0.10000023709941*i
5,0.9135172474609503,B0*s + B1*i*s ; B2 + B3*i,0.399999946573423*i*s + 3.97429914411929e-7*s ; 0.100000061393889*i + 8.56045469679896e-9
6,0.913517247460593,B0*s + B1*i*s ; B2*i + B3*i**2,0.400000041323845*i*s + 3.82115465836081e-7*s ; 1.74688186952834e-7*i**2 + 0.100000054404149*i
7,0.9135172474605466,B0*s + B1*i*s ; B2*i,0.400000018532072*i*s + 3.85744102686322e-7*s ; 0.100000104939941*i
8,0.9135172473283105,B0*i + B1*i*s ; B2*i + B3*i**2,0.400014693701382*i*s - 9.06012321555303e-6*i ; -1.6493982740539e-6*i**2 + 0.0999985660949063*i
9,0.9135172473268023,B0*i + B1*i*s ; B2*i,0.400013150937718*i*s - 7.72126848428612e-6*i ; 0.0999984136147865*i
10,0.9135172473181038,B0 + B1*i*s ; B2*i + B3*i*r,0.400006720398384*i*s + 7.11850316498935e-8 ; -2.35744603182144e-6*i*r + 0.100001530678413*i
11,0.9135172473031126,B0 + B1*i*s ; B2*i + B3*i**2,0.400004219191983*i*s + 9.50793292959157e-8 ; 2.70013382081575e-6*i**2 + 0.0999996971523622*i
12,0.9135172472731665,B0*i*s ; B1*i + B2*i**2,0.400004799678263*i*s ; 6.7836329721465e-6*i**2 + 0.0999983782060397*i
13,0.9086199965677929,B0*s + B1*s**2 ; B2*i + B3*i*r,-0.284605418785888*s**2 + 0.287386127687909*s ; -0.0409040762316928*i*r + 0.123410875983479*i
14,0.9081908005218685,B0*s + B1*s**2 ; B2*i + B3*i**2,-0.271112133904538*s**2 + 0.273916108166693*s ; 0.0872425495092372*i**2 + 0.078316524525892*i
15,0.9071925417421877,B0*s + B1*s**2 ; B2*i + B3*Abs(i)**(3/2),-0.268951163380499*s**2 + 0.271979047561389*s ; 0.0654279496419131*i + 0.07260293204901*Abs(i)**(3/2)
16,0.9058369318770239,B0 + B1*i*s ; B3*sqrt(Abs(B2 + i)),0.388282631772497*i*s + 0.00906773969933967 ; 0.055654599869606*sqrt(Abs(i + 0.00490806669731059))
17,0.9043820748278419,B0*i*s ; B1*i + B3*sqrt(Abs(B2 - i)),0.400004303911407*i*s ; 0.100002514989977*i - 1.08735145827393e-6*sqrt(Abs(i - 0.00500021228649753))
18,0.9043820747997849,B0*i*s ; B1*i + B3*sqrt(Abs(B2 + i)),0.400004703582178*i*s ; 0.100000894122722*i - 3.66363162574197e-8*sqrt(Abs(i + 8.87230308697517))
