node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.9000323757310186,0.03137795037688156,0.015055135288871266,126,1.4838450401293193,9.231146253060368,0.012903625397592716,0.0793887949268681,False,False,14,2
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.9509900495657663,0.11939350476307181,0.053176336028487044,61,1.5794062934793291,9.522672070247015,0.062379375997922884,0.23108241456668874,False,False,14,3
"('INTERNAL', ('M0*M1', 'M0*i'))",0.8615812035440321,0.17765695929343112,0.07265368239104457,33,1.655479291031691,9.640455996891935,0.08429329208795902,0.3406118631315599,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0*i'))",0.8798867639661971,0.1803415053501302,0.08657468701804831,19,1.762335157691702,9.73396581436193,0.06937764910915921,0.4039781242903433,False,False,14,3
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.4401257155422528,0.027988234371185413,0.011321964261131471,17,0.6808910220194149,9.632201227194201,0.005760619321629778,0.22950696331473505,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0'))",0.5755504346134435,0.06565959877472662,0.02866319621862416,16,1.4867512776599505,9.527076968546545,0.015555577179780917,0.29105935986716086,False,False,14,2
"('INTERNAL', ('B0*M0 + B1*M1', 'M0*i'))",0.9135172473268023,0.2844557418201132,0.10199200341120214,13,1.8317070503621506,9.797744648609791,0.11379881236576628,0.5595862664017117,False,False,14,3
"('INTERNAL', ('M0*M2 + M1*M2', 'M0*M1'))",0.7220500727558825,0.2958981350895332,0.07535855144548179,10,1.2485950894437754,9.758607688817134,0.10706001757106116,0.6061729287434745,False,False,14,2
"('INTERNAL', ('M0', 'M0 - M1'))",0.26481036263251395,0.053241429303688054,0.009153315523673737,9,0.46643063457126654,9.751886116991583,0.010536567536938324,0.3784958729217024,False,False,14,1
"('INTERNAL', ('M0', 'M0*M1'))",0.14768685856590186,0.023177746598507284,0.002305174250827328,9,1.4838450401293193,9.751886116991583,0.005306077122076181,0.3403288457678572,False,False,14,1
"('INTERNAL', ('M0*s', 'M0'))",0.438048217468892,0.06398557316230825,0.02721092476321145,7,0.38472351527535703,9.751886116991583,0.012361243236353806,0.44557069808763267,False,False,14,1
"('INTERNAL', ('M0*M2 - M1*M2', 'M0'))",0.13769295757987296,0.03803904389283493,0.0030649705446841526,7,1.133864113436236,9.752822224938052,0.007859201695015073,0.41612832380099757,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0'))",0.07113176129849465,0.010331390857009126,0.0007189958816721945,7,0.9598714916338177,9.751894367249772,0.004207914274849437,0.38259220505243613,False,False,14,1
"('INTERNAL', ('M0 - M1', 'M0'))",0.0374231843907404,0.010005192284781923,0.00023432917625890184,7,0.47576907278623,9.759040953307688,0.004172212418916351,0.3821823074529098,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.032765647080260356,0.011698147919007449,0.00019968744559405022,7,0.5485942097271904,9.758964452504324,0.004359354497064734,0.38430550718197115,False,False,14,1
"('INTERNAL', ('M1*sqrt(Abs(M0))', 'M0'))",0.030496881188318656,0.010695394952461811,0.00016368142839690662,7,1.3761339490348827,9.75314526027204,0.004247954859596018,0.38304915650491045,False,False,14,1
"('INTERNAL', ('M0*M1*M2', 'M0'))",0.02642783511645066,0.005689943160498196,8.873029879924155e-05,7,1.3717408656545267,9.752298053797757,0.0037159313006582266,0.37672312921833384,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0))', 'M0'))",0.01627827907642598,0.0029288295210097323,3.7129043048002584e-05,7,0.11248672756069487,9.751886116991583,0.0034395837890211947,0.37319333539373195,False,False,14,1
"('INTERNAL', ('M0*M2 + M1*M2', 'M0'))",0.004958399519116603,0.0011892209881557976,3.3558150985363583e-06,7,1.230795598070459,9.752738802973756,0.0032717128671165122,0.37095423278905,False,False,14,1
"('INTERNAL', ('M0*i', 'M0'))",0.0027235748251986025,0.0007281823291357031,1.1092332381003556e-06,7,0.46766737723021246,9.752691912700126,0.003228029995829589,0.37035881067948884,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1*M2'))",0.688250909948675,0.22206600129862183,0.09609545585048149,6,1.5690515915052732,9.80013143902384,0.05459641044695606,0.6254064162694688,False,False,14,2
"('INTERNAL', ('B0*i', 'M0*M1'))",0.36988655349974653,0.07161614168046361,0.021455867507955785,6,0.11229425289682556,9.774703673316814,0.013604191443320484,0.4889261986269166,False,False,7,4
"('INTERNAL', ('M0*M1', 'i'))",0.05711921945036905,0.01961162042029217,0.00044172051251849503,6,0.04620792411767578,9.618550249353026,0.005663976121880847,0.43267340540217153,False,False,7,2
"('INTERNAL', ('M0*M1', 'sqrt(Abs(r))'))",0.028070506359368107,0.02183690584574324,0.00011872709216423285,6,0.07868758632632208,9.752867623973444,0.005929894431262443,0.43521742527329377,False,False,7,4
"('INTERNAL', ('M0*M1', 'M0 - M1'))",0.022279664703515372,0.0043204215413988525,7.836176715041218e-05,6,0.5120060294135911,9.751886116991583,0.004018090157735171,0.4147991324232776,False,False,14,2
"('INTERNAL', ('M0*M1', 'M0 + M1'))",0.009540612538664636,0.0015903741205204013,1.5169510243524947e-05,6,0.4514591401136483,9.752592445981366,0.0037574882856595696,0.4115313595868822,False,False,14,2
"('INTERNAL', ('B0*M0', 'B1*M2*M3 - M0*M2*M3 + M1*M2*M3'))",0.7280233643847489,0.294873812133068,0.15173142058676148,5,1.9624043086927427,9.878861722369631,0.07485575329816034,0.7100923828524048,False,False,14,3
"('INTERNAL', ('M0*M1', 'M0*i - M1*i'))",0.6413724080231411,0.2623422796571597,0.0769077990110308,5,0.9428835224005543,9.759100847598397,0.06319183589484456,0.6874378995811667,False,False,14,1
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.562074517205912,0.14228518747860633,0.05626972712486774,5,1.5297357509589142,9.848226203843783,0.027879206718550625,0.5947642690120425,False,False,14,3
"('INTERNAL', ('M0', 'i'))",0.02213131389083905,0.006849730043105911,8.409767154334377e-05,5,0.04725110782778905,9.621841498740022,0.004847207518092677,0.46671157875309494,False,False,7,1
"('INTERNAL', ('s', 'M0'))",0.004723602886920723,0.001091304326904417,4.156570877254263e-06,5,0.026288774693266723,9.625232315537659,0.004308689899020456,0.4604539459589522,False,False,7,1
"('INTERNAL', ('i', 'M0'))",0.0034245414023770905,0.0006849082804754181,2.34549676331897e-06,5,0.032277031851482646,9.619471187938878,0.004272062813198274,0.4600090037881198,False,False,7,1
"('INTERNAL', ('M0', 'r'))",5.075980536485705e-64,1.0151961072971409e-64,5.15311568135634e-128,5,0.05763452160855759,9.625163273437908,0.004210744514489474,0.4592581264399005,False,False,7,1
"('INTERNAL', ('B0', 'M0'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('INTERNAL', ('M0*M1', 'B0'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('INTERNAL', ('B0*M0*M1', 'B1*M1*M2 + M0*M1*M2 - M1*M2*i'))",0.9509900496802071,0.2552406593843918,0.21519085762249548,4,1.807832691411715,9.888163149664388,0.05426990370346022,0.7197785534668273,False,False,10,2
"('INTERNAL', ('B0*M0*M1*s', 'B1*i'))",0.9509900495657663,0.44754325935664374,0.11324076183791643,4,1.325574001105657,9.881993139740189,0.12344017554973925,0.8283284648601672,False,False,3,2
"('INTERNAL', ('B0*M0*s', 'B1*i'))",0.9509900495657663,0.6325702448512642,0.13518822937922884,4,1.2168564622888887,9.757199202460436,0.21357043251653815,0.9084378565040254,False,False,3,2
"('INTERNAL', ('B0*M0*s', 'M0*i'))",0.9509900495657663,0.5591710279982072,0.16817098582061316,4,1.721079441761711,9.888163149664214,0.17501133755417556,0.8793960317587731,False,False,14,2
"('INTERNAL', ('B0*M0 + B1*i*s', 'B2*i'))",0.9320653477151822,0.9181542724238972,8.60080070043553e-05,4,1.2240183849182342,9.892062996977863,0.4056516468725122,0.9850269085512438,False,False,3,2
"('TERMINAL', ('B0*s + B1*i*s', 'B2*i'))",0.9135172474605466,0.9135172474605466,0.0,4,0.9135172474605466,0.9135172474605466,0.4018528622037424,0.9842918761827251,True,False,0,2
"('INTERNAL', ('B0*M0*s + B1*M0*i*s', 'B2*i'))",0.9135172474605466,0.8955191352139754,0.0004319093925869018,4,1.2240183849182342,9.889487627830494,0.3873784256225204,0.9812665652983767,False,False,3,2
"('INTERNAL', ('B0 + B1*M0*M1', 'B2*i + B3*i**2'))",0.9135172473031126,0.8328196913981909,0.026048382116111834,4,1.2842486621723113,9.881176457943187,0.339993648558593,0.9686411069623079,False,False,7,1
"('INTERNAL', ('B0*M2 + B1*M0*M1', 'B2*sqrt(Abs(M0 + M1 - M2 - M3))'))",0.9058369318770239,0.5952677702534459,0.06355942482213985,4,2.185989564110262,9.835750791608845,0.19350018041591704,0.8941289146068615,False,False,10,2
"('INTERNAL', ('B0 + B1*s + B2*i*s + M0', 'B3*i'))",0.8953382542362941,0.7347078440481872,0.03440283823626596,4,1.193039504910447,9.85909759972844,0.2738409501170922,0.9427497191049237,False,False,3,1
"('TERMINAL', ('B0 + B1*s + B2*i*s', 'B3*i'))",0.8953382542362941,0.8953382542362941,0.0,4,0.8953382542362941,0.8953382542362941,0.38723507609778235,0.9812347785072639,True,False,0,1
"('INTERNAL', ('B0 + B1*M0', 'B2*i + B3*i**2 - M0*i'))",0.8953382541315834,0.7499926877364779,0.01583078556737518,4,2.315706769126571,9.877267726658859,0.2835773584695844,0.9472529356008083,False,False,10,2
"('INTERNAL', ('M0*M2*M3 - M1*M2*M3', 'M0*i'))",0.8953382541199533,0.5904791063866517,0.14895931321910952,4,1.1643625678342637,9.891122459940949,0.19099520671989476,0.8922244416753733,False,False,14,2
"('INTERNAL', ('M0*M2*i*sqrt(Abs(s)) - M1*M2*sqrt(Abs(s))', 'B0*M2 - M0*M2 - M1*M2 + M3'))",0.8855191526100882,0.36118027179331735,0.17379839983564618,4,0.9207572539101848,9.78235700545802,0.08925657365715789,0.7829691185353767,False,False,10,2
"('INTERNAL', ('M0*M2 + M1*M2', 'M0*M2 + M1*M2'))",0.8663752355651345,0.6048549567994699,0.1643328565723194,4,0.7333275818582283,9.842074889206286,0.19856381359660696,0.8978956802266466,False,False,14,2
"('INTERNAL', ('B0 + B1*s - M0 - i*s - s**2', 'B2 + B3*i'))",0.8560532351500397,0.6420399263625298,0.18320678535271231,4,1.127483392831726,9.751886116991583,0.2188251047628462,0.911921099146127,False,False,3,1
"('TERMINAL', ('B0 + B1*s - i*s - s**2', 'B2 + B3*i'))",0.8560532351500397,0.8560532351500397,0.0,4,0.8560532351500397,0.8560532351500397,0.35703548119669026,0.9736906226036419,True,False,0,1
"('INTERNAL', ('B0*M2 + B1*M0*M1', 'B2*M0*i + B3*i*r - M1*i'))",0.8243110495777516,0.4130133785976643,0.19298797080811034,4,2.0279256662336342,9.892062996977266,0.10917419771290911,0.8108215923742627,False,False,10,2
"('INTERNAL', ('B0*M2 - M0*M2 + M1*M2', 'M0*M2*i - M1*M2*i + M3*i - M4*i'))",0.8164379409880589,0.5574049424171014,0.13059696708142554,4,1.002150635060898,9.849620388202094,0.17412986106940956,0.8786529220546533,False,False,10,2
"('INTERNAL', ('B0*M0*M1', 'M0*i'))",0.8113287442442363,0.38731610966061514,0.11195872307302678,4,1.7239828351397155,9.862275440983108,0.09907405022374488,0.7972529072360972,False,False,14,2
"('INTERNAL', ('B0*M0 + B1*M1', 'B2*M0*i + B3*i*r - M1*i'))",0.7992717369724014,0.511056693320945,0.13183289224031555,4,1.9343072973231799,9.883162461140428,0.1517559688067338,0.8584084447576463,False,False,10,2
"('INTERNAL', ('B0*M0 + B1*M1', 'B2*i + B3*M0*i - M1*i'))",0.7612674076283886,0.4892547463750812,0.1100843564151786,4,2.240209974795795,9.886636102612577,0.1417324352811221,0.8483894616942038,False,False,10,2
