rank,reward,equations,equations_with_constants
1,0.928155532438405,B0*i*s ; B1*i,0.393508099577118*i*s ; 0.1086396017166*i
2,0.9274406255910025,B0*i*s ; B1 + B2*r,0.242888699077107*i*s ; -2.74723563049713*r - 0.0707551422023194
3,0.9274131776262519,B0*i*s ; B1 - r,0.239379874224657*i*s ; -r - 0.0315382103286469
4,0.9266171158785034,B0*s*Abs(i)**(3/4) ; r,0.185483351578719*s*Abs(i)**(3/4) ; r
5,0.9264090283284216,B0*i*s ; sqrt(Abs(B1 + r)),-0.00140131602339361*i*s ; sqrt(Abs(r + 12.7811341316216))
6,0.9263143614478829,B0*i*s ; B1 + sqrt(Abs(r)),-0.00138530825708223*i*s ; sqrt(Abs(r)) + 1.62950114888527
7,0.9255003617783208,-i*s**2 ; B0 + B1*r,-i*s**2 ; 0.137485448359564*r + 0.0218199179280504
8,0.9253831024470444,B0*i*s ; B1 - i - r,0.00142936118430992*i*s ; -i - r - 5.63846558041036
9,0.9251401585218686,B0*i*s ; r*Abs(i)**(1/4),0.300059481640969*i*s ; r*Abs(i)**(1/4)
10,0.9251401584217841,B0*i*s ; i*r,0.300060171540789*i*s ; i*r
11,0.9251401582334552,B0*i*s ; i*sqrt(Abs(r)),0.300017383814832*i*s ; i*sqrt(Abs(r))
12,0.9251401580057644,B0*i*s ; 3*r,0.300062822487982*i*s ; 3*r
13,0.9251401576341306,B0*i*s ; r,0.300013836042484*i*s ; r
14,0.9251401574017922,B0*i*s ; Abs(r)**(1/4),0.300066208621141*i*s ; Abs(r)**(1/4)
15,0.9251401564250605,B0*i*s ; sqrt(Abs(r)),0.300007871468732*i*s ; sqrt(Abs(r))
16,0.9251401563352165,B0*i*s ; r*sqrt(Abs(i)),0.300071322970354*i*s ; r*sqrt(Abs(i))
17,0.9251401562882933,B0*i*s ; 2*r,0.300071529284751*i*s ; 2*r
18,0.9251401534880564,B0*i*s ; Abs(r)**(3/2),0.300082072410876*i*s ; Abs(r)**(3/2)
19,0.9251401508162841,B0*i*s ; sqrt(2)*sqrt(Abs(r)),0.300090128913144*i*s ; sqrt(2)*sqrt(Abs(r))
20,0.9251401475495322,B0*i*s ; -r,0.299980292908342*i*s ; -r
21,0.9248665413784085,B0 + B1*Abs(i)**(3/4) ; B2 - 2*r,0.0822310350162901 - 0.13297370526904*Abs(i)**(3/4) ; 0.942880895743788 - 2*r
22,0.9230734203352614,B0*Abs(i)**(3/4) ; B1 - r,0.0519415393760511*Abs(i)**(3/4) ; 1.0434659001074 - r
23,0.9229768624218404,B0 + B1*i ; B2 + i*r,0.26696948521365*i + 0.00541435488681988 ; i*r + 0.00632135411411919
24,0.9216915174379811,i**2*s ; B0 + B1*i,i**2*s ; 0.0314560341729322*i + 0.0726960105815622
25,0.9208562713018771,i**2*s ; B0 + B1*r,i**2*s ; 0.0719121700631569 - 0.0174123238382833*r
26,0.9207696336173866,B0*i ; B1 - r,-0.0490789039640029*i ; 1.12787555346453 - r
27,0.9201681579470182,B0*i*s ; sqrt(Abs(i)),-0.00353489294094599*i*s ; sqrt(Abs(i))
28,0.9189417267182637,B0 + B1*i ; B2 + B3*r,-0.130974107531174*i - 0.0161362001913707 ; 0.155268981570753 - 0.13194425826529*r
29,0.9185895058139908,B0*i*sqrt(Abs(s)) ; B1*i,0.571242317269282*i*sqrt(Abs(s)) ; 0.352066784304151*i
30,0.9175287389815842,B0*Abs(s)**(3/4) ; r,0.0471003180848075*Abs(s)**(3/4) ; r
31,0.9175287247046974,B0*Abs(s)**(3/4) ; i,0.0471105666147641*Abs(s)**(3/4) ; i
32,0.9175287082840288,B0*Abs(s)**(3/4) ; i*r,0.0470271547064107*Abs(s)**(3/4) ; i*r
33,0.9171839108387513,B0*i*s ; B2*sqrt(Abs(B1 - i)),-0.00137712250754892*i*s ; 1.10427739851255*sqrt(Abs(i - 8.24916592286912))
34,0.9165658789147366,B0*i*s ; sqrt(Abs(B1 + i - r)),-0.00128566865884394*i*s ; sqrt(Abs(-i + r + 3.19938142907844))
35,0.9165633384281516,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + i)),0.020627795449997*s*sqrt(Abs(i)) ; sqrt(Abs(i + 0.624294300430614))
36,0.9162654421661126,B0*i*s ; sqrt(Abs(B1 + B2*r)),-0.00332909938457953*i*s ; sqrt(Abs(0.307143353849717*r + 3.66303628604286))
37,0.916115652381828,B0 + B1*i ; B2*r + i,0.875531447660705*i + 0.0085774202699789 ; i + 0.0102773759457395*r
38,0.9160325901027988,B0*i*s ; B1 - i,0.000859432415478322*i*s ; -i - 0.0210532415947406
39,0.9159639335909621,B0*i*s ; i + sqrt(Abs(r)),-0.0637542720445676*i*s ; i + sqrt(Abs(r))
40,0.9156150701507069,B0*i*s ; B1 + r,0.00085917184470021*i*s ; r - 0.0408223767604454
41,0.9143334068342207,i*Abs(s)**(1/4) ; B0 + i,i*Abs(s)**(1/4) ; i - 0.00532374380853575
42,0.9139402109244879,B0*s ; B1*r,0.0460617241494609*s ; 0.00786885182930593*r
43,0.9139402109242796,B0*s ; B1 + i,0.0460617507921883*s ; i + 19.1729160495095
44,0.9139402108743491,B0*s ; i*r,0.0460631983973853*s ; i*r
45,0.9139402099760977,B0*s ; B1*i,0.0460542787974242*s ; 98.8951812300994*i
46,0.9139402096571599,B0*s ; B1 + r,0.0460698934120863*s ; r + 50.9528162879428
47,0.9139402086846383,B0*s ; B1 - i,0.0460726500887495*s ; 0.317086025461281 - i
48,0.9139402014080495,B0*s ; B1 - r,0.0460844583854299*s ; 0.00223605704611273 - r
49,0.9139401634448315,B0*s ; r,0.0460103043318897*s ; r
50,0.9139401633169512,B0*s ; i,0.0460102354196995*s ; i
51,0.9139401631825634,B0*s ; i - r,0.0460101631005487*s ; i - r
52,0.9139401616919787,B0*s ; Abs(i)**(1/4),0.0461136961529572*s ; Abs(i)**(1/4)
53,0.9139401579444177,B0*s ; 2*r,2.71994373388599*s ; 2*r
54,0.9139401570671503,B0*s ; i + r,0.0460069735819096*s ; i + r
55,0.9139401554524105,B0*s ; i**2,0.0461169044211098*s ; i**2
56,0.913940154737959,B0*s ; 2**(1/4)*Abs(i)**(1/4),0.0461172600040875*s ; 2**(1/4)*Abs(i)**(1/4)
57,0.9139401544320788,B0*s ; sqrt(2)*sqrt(Abs(r)),0.0461174115497143*s ; sqrt(2)*sqrt(Abs(r))
58,0.9139401531340353,B0*s ; -i + r,0.0461180501366628*s ; -i + r
59,0.9139401526617126,B0*s ; sqrt(Abs(i)),0.0461182807194851*s ; sqrt(Abs(i))
60,0.9139401509805839,B0*s ; Abs(r)**(3/2),0.046119093940489*s ; Abs(r)**(3/2)
61,0.9139401482573263,B0*s ; 2*i,0.0461203874570355*s ; 2*i
