rank,reward,equations,equations_with_constants
1,0.9296838806596324,B0*i*s ; B1 + B2*r,0.235640250763923*i*s ; -1.02439461433746*r - 0.0351842926303699
2,0.9296838362205716,B0*i*s ; B1 - r,0.235511395204564*i*s ; -r - 0.0345821706864185
3,0.9295936899456083,B0*i*s ; B1 + B2*i,0.317192509563052*i*s ; 0.0674741224281566*i - 0.00323100193813535
4,0.9294636210288886,B0*i*s ; B1*r + i,0.721670254569069*i*s ; i - 0.404785153318894*r
5,0.9291540011256544,B0*i*s ; sqrt(Abs(B1 + r)),-0.00170490838574319*i*s ; sqrt(Abs(r + 6.19852802866201))
6,0.9289542700799772,B0*i*s ; B1 - i - r,0.0152521488466074*i*s ; -i - r - 0.419146278971363
7,0.9288799079961865,B0*i*s ; B1*Abs(i)**(1/4),0.103446496969706*i*s ; -0.0745433529908686*Abs(i)**(1/4)
8,0.9288190288400081,B0*i*s ; B1 - sqrt(Abs(r)),0.00136078205577437*i*s ; -sqrt(Abs(r)) - 1.68478910587524
9,0.9288182311785521,B0*i*s ; B1 + sqrt(Abs(r)),-0.00136166504822345*i*s ; sqrt(Abs(r)) + 1.71589953750496
10,0.9285473723113057,B0*i*s ; Abs(i)**(1/4),-0.00627420847714788*i*s ; Abs(i)**(1/4)
11,0.9282568477439451,B0*i*s ; B1 + i + r,-0.00182643802346362*i*s ; i + r + 4.54622866504947
12,0.9276808740019046,B0*i*s ; Abs(i)**(3/8),-0.0049029008579994*i*s ; Abs(i)**(3/8)
13,0.9275836094387322,B0*i*s ; B1*sqrt(Abs(i)),-0.00129111752285302*i*s ; 1.63785131859315*sqrt(Abs(i))
14,0.9272170295709992,B0*i*s ; B1*r,0.298499327033481*i*s ; 22.9018592439477*r
15,0.9272170287982421,B0*i*s ; r,0.298484168588601*i*s ; r
16,0.9272170287368373,B0*i*s ; Abs(i)**(3/4)*sqrt(Abs(r)),0.29848360893672*i*s ; Abs(i)**(3/4)*sqrt(Abs(r))
17,0.9272170284207332,B0*i*s ; 2**(1/4)*Abs(r)**(3/4),0.298481007939694*i*s ; 2**(1/4)*Abs(r)**(3/4)
18,0.9272170281977414,B0*i*s ; sqrt(Abs(i))*sqrt(Abs(r)),0.298479384073358*i*s ; sqrt(Abs(i))*sqrt(Abs(r))
19,0.9272170274812938,B0*i*s ; sqrt(2)*sqrt(Abs(r)),0.298474909452471*i*s ; sqrt(2)*sqrt(Abs(r))
20,0.9272170269823878,B0*i*s ; B1*Abs(r)**(1/4),0.298524899101247*i*s ; 0.0190014887850333*Abs(r)**(1/4)
21,0.9272170269651192,B0*i*s ; B1*sqrt(Abs(r)),0.298472151304137*i*s ; 26.8930189185375*sqrt(Abs(r))
22,0.9272170267278341,B0*i*s ; sqrt(Abs(r)),0.298526162375926*i*s ; sqrt(Abs(r))
23,0.9272170247983417,B0*i*s ; i*sqrt(Abs(r)),0.298462824343383*i*s ; i*sqrt(Abs(r))
24,0.9272170213715619,B0*i*s ; sqrt(2)*r*Abs(i)**(1/4),0.298545417808864*i*s ; sqrt(2)*r*Abs(i)**(1/4)
25,0.924324431574754,B0*i*s ; sqrt(Abs(B1 + i)),-0.00345739150663692*i*s ; sqrt(Abs(i + 0.00316713155104229))
26,0.9243218613312861,B0*i*s ; sqrt(Abs(i)),-0.00345568094404447*i*s ; sqrt(Abs(i))
27,0.9241780148426822,B0*i ; B1 - r,-0.0473198340071945*i ; 1.23908057634317 - r
28,0.9240879414998457,B0*i*s ; B1 + sqrt(Abs(i)),0.0011088201829527*i*s ; sqrt(Abs(i)) - 13.2150435678164
29,0.9233223086197128,i**2*s ; B0 + B1*r,i**2*s ; 0.0738212096785652 - 0.0183387394425617*r
30,0.9226225202763447,B0 + B1*i ; B2 + B3*r,-0.128678426633623*i - 0.0151225047647073 ; 0.161042408412478 - 0.128352099044353*r
31,0.9219577756713756,B0*Abs(i)**(3/2) ; B1 + B2*r,0.151045136941957*Abs(i)**(3/2) ; 0.15307537962185 - 0.122777024749254*r
32,0.9219166948420064,B0*i**2 ; B1 + B2*r,0.162257534402844*i**2 ; 0.166067864545046 - 0.125710205882199*r
33,0.9218352726881208,B0*i ; B1 + B2*r,-0.124163331043815*i ; 0.140136297742271 - 0.119932472011552*r
34,0.920582423827141,B0*s*sqrt(Abs(i)) ; B1 + B2*i,0.0137435180622624*s*sqrt(Abs(i)) ; -0.378006880074019*i - 0.315845432592955
35,0.9204426541372828,B0*i*sqrt(Abs(s)) ; B1 + B2*i,0.462485921719469*i*sqrt(Abs(s)) ; 0.288614149796965*i - 0.00337611777794201
36,0.9204155580399387,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.356191547166187*i*s ; 0.0595548449702653*sqrt(Abs(i)) - 0.0101199101441724
37,0.9202020591966813,B0*i*sqrt(Abs(s)) ; B1*i,0.548992583299237*i*sqrt(Abs(s)) ; 0.326837394546342*i
38,0.9200347201386349,B0*s*sqrt(Abs(i)) ; B1 + i + r,0.0883336874438002*s*sqrt(Abs(i)) ; i + r + 0.00308368357559386
39,0.919812248506374,B1*sqrt(Abs(B0 + i)) ; B2 + i*r,0.0948956460376534*sqrt(Abs(i - 0.00171849244256477)) ; i*r + 0.00100683317464369
40,0.9197492815317696,B0*s*sqrt(Abs(i)) ; B1*i - r,0.0487055155820528*s*sqrt(Abs(i)) ; -1.17234096232588*i - r
41,0.9196904509886676,B0*i*s ; sqrt(Abs(B1*r + B2)),-0.00141501019638351*i*s ; sqrt(Abs(1.16235581886718*r + 9.8794379909029))
42,0.9194003607328963,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + B2*i)),0.0161577594103641*s*sqrt(Abs(i)) ; sqrt(Abs(1.65429509832274*i + 1.19569834911633))
43,0.9192918329135789,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + B2*r)),0.0157118092691473*s*sqrt(Abs(i)) ; sqrt(Abs(1.58284836523264*r - 1.5783604501105))
44,0.9192220708264808,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + i)),0.0206290531088651*s*sqrt(Abs(i)) ; sqrt(Abs(i + 0.586374940350252))
45,0.919221843933899,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 + r)),0.0202422859699047*s*sqrt(Abs(i)) ; sqrt(Abs(r - 0.637545433888169))
46,0.9192217191549303,B0*s*sqrt(Abs(i)) ; sqrt(Abs(B1 - r)),0.0202414262512559*s*sqrt(Abs(i)) ; sqrt(Abs(r - 0.637544185468075))
