rank,reward,equations,equations_with_constants
1,0.9296838362334787,B0*i*s ; B1 - r,0.235513051527005*i*s ; -r - 0.0345809919937726
2,0.9296643125786818,B0*i*s ; B1 - 2*r,0.238109835436947*i*s ; -2*r - 0.0597065388103385
3,0.929639891242396,B0*i*s ; B1 + i - r,0.456203928338771*i*s ; i - r - 0.0210262885156117
4,0.929593690281834,B0*i*s ; B1 + B2*i,0.317413331722104*i*s ; 0.0675668691341102*i - 0.00321745280867541
5,0.9295463540930476,B0*i*s ; B1*i,0.375490757410038*i*s ; 0.0886877101956222*i
6,0.929455085839014,B0*i*s ; B1*Abs(i)**(3/2),0.328773794499289*i*s ; 0.114419148434719*Abs(i)**(3/2)
7,0.9294465829691767,B0*i*s ; B1 + B2*r,-0.00182162064739447*i*s ; 0.0664391869439343*r + 3.29188451820074
8,0.9294115035482082,B0*i*s ; B1 + sqrt(2)*i + r,-0.126821627796597*i*s ; sqrt(2)*i + r + 0.097011375946404
9,0.9293592502820792,B0*i*s ; B1*i**2,0.313617124597214*i*s ; 0.163771628504422*i**2
10,0.9291619211832572,B0*i*s ; sqrt(Abs(B1 + i)),-0.00170691471057967*i*s ; sqrt(Abs(i - 6.24459643612502))
11,0.9291539996920927,B0*i*s ; sqrt(Abs(B1 - r)),-0.00170478751621798*i*s ; sqrt(Abs(r + 6.20013666102507))
12,0.9291539704941381,B0*i*s ; sqrt(Abs(B1 + r)),-0.00170339407366078*i*s ; sqrt(Abs(r + 6.21910292577399))
13,0.9289542735982004,B0*i*s ; B1 - i - r,0.0152643671280158*i*s ; -i - r - 0.418733604042273
14,0.9285926600039296,B0*i*s ; B1 + sqrt(Abs(i)),-0.00159894099265535*i*s ; sqrt(Abs(i)) + 1.15548589757292
15,0.9285741435468344,B0*i*s ; B1 + sqrt(Abs(r)),-0.00159519866140627*i*s ; sqrt(Abs(r)) + 1.15919271526433
16,0.9285573246668747,B0*i*s ; B1 - sqrt(Abs(i)),0.00159204359662705*i*s ; -sqrt(Abs(i)) - 1.11554635806934
17,0.9285499839772045,B0*i*s ; B1 - sqrt(Abs(r)),0.0015905074440798*i*s ; -sqrt(Abs(r)) - 1.1352974198597
18,0.9285473723533889,B0*i*s ; Abs(i)**(1/4),-0.00627439311145401*i*s ; Abs(i)**(1/4)
19,0.9279273201994586,i*s**2 ; B0 + B1*i,i*s**2 ; 0.01881220349922 - 0.0232325976063657*i
20,0.9272170295399303,B0*i*s ; B1*r**2,0.298501549960613*i*s ; 0.000190837326014678*r**2
21,0.9272170294624827,B0*i*s ; B1*sqrt(Abs(r)),0.298493126627939*i*s ; 0.29194461357971*sqrt(Abs(r))
22,0.927217028998338,B0*i*s ; B1*i*r,0.298486166307409*i*s ; 62.824159131886*i*r
23,0.9272170286892838,B0*i*s ; B1*Abs(r)**(3/2),0.298513947783137*i*s ; 95.2467344185399*Abs(r)**(3/2)
24,0.9272170286037116,B0*i*s ; r**2,0.298482462256494*i*s ; r**2
25,0.9272170285739378,B0*i*s ; r,0.298482216801253*i*s ; r
26,0.9272170284495036,B0*i*s ; Abs(r)**(3/2),0.298515908873269*i*s ; Abs(r)**(3/2)
27,0.9272170284146155,B0*i*s ; i*Abs(r)**(3/2),0.29851617602087*i*s ; i*Abs(r)**(3/2)
28,0.9272170280387501,B0*i*s ; r*Abs(i)**(3/2),0.298518831980291*i*s ; r*Abs(i)**(3/2)
29,0.9272170276862617,B0*i*s ; 2*r,0.298521039308033*i*s ; 2*r
30,0.9272170275538459,B0*i*s ; -Abs(r)**(1/8),0.29852181441955*i*s ; -Abs(r)**(1/8)
31,0.9272170273992583,B0*i*s ; r*Abs(i)**(1/4),0.298522687825099*i*s ; r*Abs(i)**(1/4)
32,0.9272170270749592,B0*i*s ; i*r,0.298524424398409*i*s ; i*r
33,0.9272170269315919,B0*i*s ; i*sqrt(Abs(r)),0.298471982048382*i*s ; i*sqrt(Abs(r))
34,0.9272170159732661,B0*i*s ; B1*r,0.298558897543155*i*s ; 0.00240438917355704*r
35,0.9265059185257281,B0 + B1*i ; B2 + i*r,0.460399660524685*i + 0.00929217290530296 ; i*r + 0.0168336533749685
36,0.9253496082001978,B0*i*s ; B1 - sqrt(2)*sqrt(Abs(r)),0.00167918261972196*i*s ; -sqrt(2)*sqrt(Abs(r)) + 0.0268507390698745
37,0.9243218666043717,B0*i*s ; sqrt(Abs(i)),-0.00345635433093179*i*s ; sqrt(Abs(i))
38,0.9241780203268427,B0*i ; B1 - r,-0.0475375816420822*i ; 1.23641526482206 - r
39,0.9226225310390322,B0 + B1*i ; B2 + B3*r,-0.128547929507251*i - 0.015141605290523 ; 0.161290644381914 - 0.128528957157139*r
40,0.9219166935547551,B0*i**2 ; B1 + B2*r,0.162243819893075*i**2 ; 0.166058266969604 - 0.125674476819774*r
41,0.9218352755318694,B0*i ; B1 + B2*r,-0.124173982923251*i ; 0.140088312700872 - 0.119901211470715*r
42,0.9209822280414397,i*s**2 ; B0 - i*r,i*s**2 ; -i*r + 0.0188071935958428
43,0.9204155564599119,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.355361305589135*i*s ; 0.0594253490374681*sqrt(Abs(i)) - 0.0101553321664532
44,0.9203228892928922,B0*i*sqrt(Abs(s)) ; B1 + B2*sqrt(Abs(i)),0.492271898518728*i*sqrt(Abs(s)) ; 0.180692217318029*sqrt(Abs(i)) - 0.0267857004362979
45,0.9201605197100348,B0*i*s ; B1 - r + sqrt(Abs(r)),0.198452428711126*i*s ; -r + sqrt(Abs(r)) - 0.344649748477742
46,0.9197581472731118,B0*s*sqrt(Abs(i)) ; B1 - i - r,0.0771096963259923*s*sqrt(Abs(i)) ; -i - r + 0.0348772051637885
47,0.919690248624829,B0*i*s ; B1 + sqrt(Abs(B2 + i)),-0.00147429370153533*i*s ; sqrt(Abs(i - 11.9829383504917)) - 0.113417012962961
48,0.9193339552314431,B0*i*s ; sqrt(Abs(B1 - 2*i)),-0.00129239755917118*i*s ; sqrt(Abs(2*i - 3.24838985320879))
