node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.9325048551941534,0.668287043200488,0.1075435798502773,179,6.416832856266659,9.820258841008517,0.5962835697388675,0.7330875426663768,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0'))",0.9325767896773528,0.8854102995461653,0.001190309686589957,143,6.215707666030023,9.87528220625911,0.8226959568396381,0.9275857583627116,False,False,14,3
"('INTERNAL', ('B0*s', 'M0'))",0.9325048552566587,0.9210203850824032,0.0005657562474820743,30,5.392076816667061,9.884501842203173,0.7694245286575622,0.9740370293492131,False,False,7,6
"('INTERNAL', ('B0*M0 + B0*M1', 'M0'))",0.9325048053586549,0.898872337726771,0.0005700259694473805,21,5.590771440924463,9.887395576219243,0.7010207978753225,0.9683532698466222,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0 + M1'))",0.9399387398778313,0.8943189158733249,0.0007860893189884593,18,5.392076816667061,9.886847425108522,0.6752265091654649,0.9685039642430532,False,False,14,2
"('INTERNAL', ('B0*M0', 'sqrt(Abs(M0))'))",0.9325048096585121,0.8842253813803203,0.001325185712973453,16,5.034368715462924,9.890171552685446,0.6464692748297116,0.9659529127579397,False,False,14,2
"('INTERNAL', ('B0*M0', 'r'))",0.9325048053586549,0.8919461734277815,0.000739305094693628,16,5.265562570017319,9.888310523893562,0.655704805361567,0.9691326588847873,False,False,7,10
"('INTERNAL', ('B0*M0', 'M0 - M1'))",0.9255642909544788,0.8908668577046381,0.0006377251614123352,16,5.3798567910529105,9.888664516750868,0.6348516388975349,0.9706705892291788,False,False,14,2
"('INTERNAL', ('B0*M0 + B1*M1', 'M0'))",0.922089448713822,0.8932536775992175,0.0005629733386545064,16,5.15872733898844,9.889499485160334,0.6572812332113359,0.9696602819696786,False,False,14,2
"('INTERNAL', ('B0*M0', 'i'))",0.9325048042935623,0.9002092890946324,0.0007137423143320959,15,5.302184932379691,9.885475755921991,0.6560785120907056,0.9731660032041276,False,False,7,5
"('INTERNAL', ('B0*sqrt(Abs(M0))', 'M0'))",0.922217132437243,0.8791242446855568,0.001863295999136541,13,3.9990739855778226,9.892027803667506,0.6087693889929702,0.9669854835321032,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.9325048552566587,0.8786161107928117,0.0010619566877271486,12,4.4843920887952775,9.888336094156964,0.5950809359839485,0.9679386964246509,False,False,14,2
"('INTERNAL', ('B0*s', 'sqrt(Abs(M0))'))",0.9325048096585121,0.9103392044560462,0.00041861004278892895,12,2.2597084555627656,9.892719222700093,0.6320584370767972,0.9788377746804683,False,False,7,4
"('TERMINAL', ('B0 + B1*s', 'r'))",0.9146495973148216,0.9146495973148216,0.0,11,0.9146495973148216,0.9146495973148216,0.6217933996424327,0.9807891676173643,True,False,0,7
"('TERMINAL', ('B0*s', 'B1 + i'))",0.9325048554904136,0.9325048554904136,0.0,10,0.9325048554904136,0.9325048554904136,0.625360076569283,0.986047894548402,True,False,0,8
"('INTERNAL', ('B0*s', 'M0 + M1'))",0.9325048554917235,0.9132368829787805,0.0006225278855677045,9,5.344483820492715,9.891972367432338,0.5820413782236183,0.9816439216715552,False,False,7,3
"('TERMINAL', ('B0 + B1*i', 'r'))",0.9146496078245117,0.9146496078245117,0.0,9,0.9146496078245117,0.9146496078245117,0.5836495772582913,0.982012565557003,True,False,0,6
"('TERMINAL', ('B0 + B1*i + B2*s', 'i'))",0.9056183141126211,0.9056183141126211,0.0,9,0.9056183141126211,0.9056183141126211,0.5734437107766993,0.9795997181732744,True,False,0,4
"('INTERNAL', ('M0 - M1', 'M0'))",0.8991226766261151,0.36500508592986436,0.1913547204917069,9,4.195440454976329,9.80733853932136,0.13920463044902562,0.6777853712469932,False,False,14,1
"('INTERNAL', ('B0 + B1*M0', 'r'))",0.9314186054975797,0.9071391066561179,0.00029800682820933045,8,4.703404036347873,9.890102240104046,0.5514952377639162,0.9807492602347215,False,False,7,6
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.9187627449658915,0.7396438630430144,0.061028850670664936,8,4.631033815899698,9.886880875612942,0.3910017756573274,0.9205313440884496,False,False,14,2
"('INTERNAL', ('B0*i', 'M0'))",0.9155580777023928,0.8733462413256181,0.0006419291015085717,8,3.481202512404442,9.887017882207406,0.5158041239598934,0.971358553907331,False,False,7,4
"('INTERNAL', ('B0 + B1*M0', 'M0'))",0.9146497887831,0.9034597988360521,0.00017647318280081264,8,5.123580152200675,9.892049872928727,0.5475052020078328,0.9798062005024653,False,False,14,6
"('INTERNAL', ('B0 + B1*M0', 'i'))",0.9146495711239175,0.8957867692202665,0.0002370161545824184,8,5.093678432187204,9.892048704133451,0.5392695632321904,0.9777755296527456,False,False,7,6
"('INTERNAL', ('B0*M0*M1', 'M0'))",0.9133001597235512,0.7612589451572539,0.09669339928282279,8,6.413440928203575,9.888729093818359,0.40971599812546794,0.9300435136697541,False,False,14,2
"('TERMINAL', ('B0', 'i'))",0.0,0.0,0.0,8,0.0,0.0,0.0028091367465992163,0.3362671168799428,True,True,0,6
"('INTERNAL', ('B0*s', 'M0 - M1'))",0.9325048554917235,0.9028170154972981,0.0012480552931224253,7,5.400976532006929,9.892314317165166,0.5189779122466742,0.9804438860697351,False,False,7,3
"('INTERNAL', ('B0*s', 'B1 - M0 + i'))",0.9325048554917235,0.9101625799765677,0.0003038524641297373,7,4.692452217065862,9.892092566029602,0.5266313119109535,0.9821685345372434,False,False,7,5
"('INTERNAL', ('B0*M0', 'B1 + i'))",0.9325048554904136,0.8947176033072265,0.000814372220517577,7,2.1357012539051192,9.89198832477735,0.5106548353337159,0.9784581085963217,False,False,7,5
"('INTERNAL', ('B0*M0 + B0*s', 'M0'))",0.9325048096585121,0.9140344448703271,0.00030021769344793935,7,5.622293663657917,9.892347831235005,0.5307071436323373,0.9830478661309369,False,False,14,1
"('TERMINAL', ('B0*s', 'i'))",0.9325048042935623,0.9325048042935623,0.0,7,0.9325048042935623,0.9325048042935623,0.5505715872449943,0.9869523681577259,True,False,0,5
"('INTERNAL', ('B0*M0 + B1*M1', 'i'))",0.9325048042935623,0.9088496833727701,0.00030858342852629287,7,5.123580152200675,9.891190473663421,0.5252558666812567,0.9818656791052456,False,False,7,3
"('INTERNAL', ('B0*M0 + B1*s', 'i'))",0.9325048042935623,0.9135162147239501,0.00019257107264600138,7,1.2320207667911216,9.891515571296463,0.5301599091758669,0.9829313734558127,False,False,7,5
"('INTERNAL', ('B0*s', 'M0*M1'))",0.9325048039330665,0.9011514380387494,0.0004859548995001202,7,4.407928330736742,9.890067601501375,0.5172565911322096,0.9800426746645078,False,False,7,3
"('INTERNAL', ('M0*M1', 'r'))",0.9222160182825582,0.6574548105451169,0.11432848777262572,7,5.3947111183771534,9.871327321652588,0.30555673619256435,0.8882176194329445,False,False,7,1
"('INTERNAL', ('M0*M1', 'M0 - M1'))",0.913948008800078,0.5657802794116222,0.17683842312251574,7,5.476722750845155,9.891026204867824,0.2410884467815246,0.8398132705345785,False,False,14,1
"('INTERNAL', ('M0', 'i'))",0.9024561152379467,0.6657535621953874,0.13102657014983954,7,1.3971867754600669,9.781675698610403,0.31174079682777317,0.8922648302089752,False,False,7,1
"('INTERNAL', ('M1*sqrt(Abs(M0))', 'M0'))",0.9014109896884624,0.7102724788183836,0.10945618657923471,7,6.416832856266659,9.889778654822877,0.34596855936488974,0.9129831281067753,False,False,14,1
"('INTERNAL', ('B0*i', 'B1*M0 + 2*M0*r'))",0.9399387398778313,0.897845481129367,0.0028939195634968403,6,1.3250368579317717,1.8343843164896065,0.48065573708592885,0.9801200253614515,False,False,3,2
"('INTERNAL', ('B0*s', 'B1 + M0 - M1 + i'))",0.9325048554904136,0.9186103775229539,0.00012836342195827923,6,4.749838307270228,9.893338599164949,0.5011539008916668,0.9845122719037409,False,False,7,4
"('INTERNAL', ('B0*s', 'B1*M0'))",0.9325048553753184,0.9010212796327475,0.0015919884778301102,6,4.350958899235334,9.893338599149594,0.4837422846589235,0.9808255192797389,False,False,7,4
"('TERMINAL', ('B0*s', 'B1 + r'))",0.9325048551941534,0.9325048551941534,0.0,6,0.9325048551941534,0.9325048551941534,0.5153121778110331,0.9871539096121538,True,False,0,4
"('TERMINAL', ('B0*s', 'sqrt(Abs(i))'))",0.9325048092136329,0.9325048092136329,0.0,6,0.9325048092136329,0.9325048092136329,0.5153121303316309,0.9871539012740734,True,False,0,4
"('TERMINAL', ('B0*s', 'r'))",0.9325048053586549,0.9325048053586549,0.0,6,0.9325048053586549,0.9325048053586549,0.5153121263509878,0.987153900575014,True,False,0,4
"('INTERNAL', ('B0*M0 + B0*M1', 'r'))",0.9325048053586549,0.9075916481375043,0.0007964435585485413,6,4.784558870477002,9.892140663509368,0.49018248917708573,0.9822467305736359,False,False,7,2
"('INTERNAL', ('B0*M0 + B1*s', 'r'))",0.9325048053586549,0.9102090053764261,0.00024466696932936915,6,1.425771962366631,9.89203533144308,0.49276889363830995,0.9827983417985221,False,False,7,4
"('INTERNAL', ('B0*M0 + B0*M1', 'i'))",0.9325048042935623,0.89985829199226,0.0007576756979080738,6,5.123580152200675,9.892002697741443,0.48261001514180635,0.9805685602102568,False,False,7,2
"('TERMINAL', ('B0*sqrt(Abs(s))', 'r'))",0.9222160182825582,0.9222160182825582,0.0,6,0.9222160182825582,0.9222160182825582,0.5047923759554256,0.9852210714223502,True,False,0,4
"('TERMINAL', ('B0*i + B1*s', 'i'))",0.9181718494223419,0.9181718494223419,0.0,6,0.9181718494223419,0.9181718494223419,0.5007130361852627,0.984424962984979,True,False,0,3
"('INTERNAL', ('B0*M0', 'B1*M0'))",0.9152674282083298,0.8834646326916364,0.0005004607045627982,6,4.399605293970724,9.893402460901438,0.46688550737989454,0.9767766653975942,False,False,14,4
