node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.9101215110847168,0.6637317378265452,0.09898605480211792,153,7.001146662007402,9.807747632491637,0.5855158663066236,0.7337713932026273,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0'))",0.9101215112707217,0.8714188272465577,0.0006335134229601699,95,6.902186201776282,9.866314085017994,0.7891790804087484,0.9241771818791568,False,False,14,5
"('INTERNAL', ('M0*M1', 'i'))",0.8950618167057018,0.8190514944329038,0.034927800062320165,22,5.192752951103844,9.862604896747381,0.6131541243371141,0.9259028240071829,False,False,7,2
"('INTERNAL', ('B0*s', 'M0'))",0.9101214315779321,0.8932388722542409,0.00042877109601583124,18,4.126319559306028,9.885107152166631,0.6739080760637788,0.9680449584504232,False,False,7,6
"('INTERNAL', ('B0*M0', 'i'))",0.9101214315779321,0.8735933291737498,0.00038679713919168745,15,5.09006388206888,9.887010565545399,0.6245118255278199,0.9625012804306412,False,False,7,9
"('INTERNAL', ('B0*M0', 'sqrt(Abs(M0))'))",0.910121421320377,0.8756209397666604,0.0006887466522120539,14,5.138378048446562,9.887939586100721,0.616406329464412,0.9644700437395115,False,False,14,4
"('INTERNAL', ('M0*M1', 'sqrt(Abs(M0))'))",0.9101214100769819,0.6656056796804712,0.1097889871017749,14,5.240946573066317,9.871723029559096,0.4040807456047328,0.851480530429745,False,False,14,4
"('INTERNAL', ('B0*sqrt(Abs(M0))', 'M0'))",0.9025639115388974,0.8617489735535343,0.0013528688370954521,14,4.41529965705173,9.888084033893744,0.600578251342001,0.9586777187294327,False,False,14,2
"('INTERNAL', ('M0*M1', 'r'))",0.9101214057519466,0.7841775042301037,0.038423672896627466,13,5.219071015512691,9.866201614022813,0.5069500519478124,0.9239082437572995,False,False,7,3
"('INTERNAL', ('B0*M0', 'r'))",0.9101214057519466,0.86951931553406,0.0009462579383887891,13,5.160390989728079,9.887618804491211,0.5747191247574208,0.9673446899807218,False,False,7,7
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.9026783499021598,0.8704279396525799,0.0004713999427689193,13,4.051061699679997,9.889947532261903,0.5988518542297321,0.9635704453884284,False,False,14,3
"('INTERNAL', ('B0*M0*M1', 'M0'))",0.8926682925214454,0.8757791888427283,0.00015427098111440662,13,6.996942550936581,9.887061207895671,0.60493790593336,0.9656863609413763,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0 - M1'))",0.9101214138503774,0.8634898328800902,0.001470300144954914,12,4.683596788603137,9.88724277729035,0.5781461574295428,0.9621543951529531,False,False,14,6
