rank,reward,equations,equations_with_constants
1,0.9262013401085546,B0*i*s ; B1 + B2*i,0.302264164805726*i*s ; 0.0596868042139709*i - 0.00285625997243444
2,0.9260768234949169,B0*i*s ; B1 + i - r,0.452556098910557*i*s ; i - r - 0.015575551927473
3,0.926054696216452,B0*i*s ; B1 + B2*r,0.237493379646301*i*s ; -1.43219823599268*r - 0.0337451951166372
4,0.9260516101892079,B0*i*s ; B1 - r,0.236562796736884*i*s ; -r - 0.0254399157841335
5,0.9260509238203556,B0*i*s ; B1 - 2*r,0.238123660154634*i*s ; -2*r - 0.0446863870559742
6,0.9260099364678528,B0*i*s ; B1*i,0.362744472349524*i*s ; 0.0858073290549943*i
7,0.9258167152050997,B0*i*s ; B1*r + i,0.685104300115098*i*s ; i - 0.434057441358083*r
8,0.9257375137524437,B0*i*s ; B1,0.194649126604698*i*s ; -0.0108862291729238
9,0.9255071079419953,B0*i*s ; B1 - sqrt(Abs(i)),0.00133282393990596*i*s ; -sqrt(Abs(i)) - 1.27181213458709
10,0.9254671339288175,B0*i*s ; sqrt(Abs(B1 - r)),-0.00156878254372536*i*s ; sqrt(Abs(r + 4.93381620765605))
11,0.9254579681287209,B0*i*s ; B1 + sqrt(Abs(r)),-0.00138008968566373*i*s ; sqrt(Abs(r)) + 1.19794173387645
12,0.9254268346892626,B0*i*s ; sqrt(Abs(B1 + i)),-0.00146413926251384*i*s ; sqrt(Abs(i - 6.66594181793279))
13,0.9254268346860326,B0*i*s ; sqrt(Abs(B1 - i)),-0.00146418610149043*i*s ; sqrt(Abs(i - 6.66608315117923))
14,0.9247393956631682,B0*i*s ; sqrt(Abs(i - r)),-0.0014248114105586*i*s ; sqrt(Abs(i - r))
15,0.9244762105764099,B0*i*s ; Abs(i)**(1/4),-0.0054172186206737*i*s ; Abs(i)**(1/4)
16,0.9241783395082273,B0*i*s ; sqrt(Abs(i - sqrt(Abs(i)))),-0.00195647410431615*i*s ; sqrt(Abs(i - sqrt(Abs(i))))
17,0.9239694925885467,B0*i*s ; B1*r**2,0.289088844376352*i*s ; 1.12349375109184*r**2
18,0.923969492577901,B0*i*s ; B1*sqrt(Abs(r)),0.289090001606833*i*s ; 15.1204731476864*sqrt(Abs(r))
19,0.9239694923933801,B0*i*s ; B1*r,0.289095295734141*i*s ; 0.123103331392842*r
20,0.923969491460203,B0*i*s ; 2*r,0.289105121011907*i*s ; 2*r
21,0.9239694897798937,B0*i*s ; i*r,0.289061684417926*i*s ; i*r
22,0.9239694891136145,B0*i*s ; -2*r,0.289058700503188*i*s ; -2*r
23,0.9239694872455697,B0*i*s ; sqrt(Abs(r)),0.289124926471431*i*s ; sqrt(Abs(r))
24,0.923969484642584,B0*i*s ; r + sqrt(Abs(r)),0.289043562968326*i*s ; r + sqrt(Abs(r))
25,0.9239694814711359,B0*i*s ; r,0.289141144906869*i*s ; r
26,0.9233312226860629,B0*i*s ; B1 - i - r,0.00130891134253201*i*s ; -i - r - 5.49269697437489
27,0.9210513655756405,B0*i*s ; sqrt(Abs(i)),-0.0029795266207092*i*s ; sqrt(Abs(i))
28,0.9204885379626893,-i*s**2 ; B0*r + i,-i*s**2 ; i + 0.605027476106322*r
29,0.9204276285714573,B0*i*s ; B1 - r + Abs(r)**(3/4),-0.387356603001085*i*s ; -r + Abs(r)**(3/4) - 0.0148287145149101
30,0.9175405561493811,B0*i*s ; i**2,0.36299138274956*i*s ; i**2
31,0.9171688378951234,B0*s*sqrt(Abs(i)) ; B1 + B2*r,0.0136864692157283*s*sqrt(Abs(i)) ; 0.390891713226298*r - 0.214498934101622
32,0.9169852277978364,B0*i*s ; B1 + B2*sqrt(Abs(i)),0.353207684458216*i*s ; 0.0568024088945305*sqrt(Abs(i)) - 0.00862130404912507
33,0.916864721863958,B0*i ; B1 - r,-0.0448648223274101*i ; 1.15288726791292 - r
34,0.9168012869876917,B0*i*s ; B1 + B2*sqrt(Abs(r)),0.235760302911692*i*s ; 0.753279894234548*sqrt(Abs(r)) - 0.124329620170629
35,0.9166892813637305,B0*i*s ; B1 - r + sqrt(Abs(r)),0.231121346148431*i*s ; -r + sqrt(Abs(r)) - 0.290941942538478
36,0.916578717777023,B0*i*sqrt(Abs(s)) ; B1 + B2*i,0.4373370216315*i*sqrt(Abs(s)) ; 0.271130347933921*i - 0.00330807208853303
37,0.9164758534770235,B0*i*s ; B2*sqrt(Abs(B1 + i)),0.194416335452993*i*s ; -0.00250325680482023*sqrt(Abs(i + 18.8963836175895))
38,0.9161769244657609,B0*i*s ; sqrt(Abs(B1 + 2*r)),-0.00127612238728013*i*s ; sqrt(Abs(2*r + 0.716946459360478))
39,0.9161733716293308,B0*i*s ; sqrt(Abs(B1 + i - r)),-0.00127576493857847*i*s ; sqrt(Abs(-i + r + 0.751226370340486))
40,0.9161733715945455,B0*i*s ; sqrt(Abs(B1 - i + r)),-0.00127571577197727*i*s ; sqrt(Abs(-i + r + 0.751423857399923))
