node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.9239694923933801,0.7229527690010809,0.07764901111986158,163,6.317329715975855,9.806747853974013,0.6495604718636004,0.785883450095641,False,False,14,1
"('INTERNAL', ('B0*M0', 'M0'))",0.9101215113794011,0.8619222552368729,0.0012998811519713599,67,6.175743551407559,9.86918875290696,0.7591605197090514,0.9244779763577496,False,False,14,9
"('INTERNAL', ('M0*M1*M2', 'M0'))",0.9239694814711359,0.8110884230677269,0.04208688021342792,35,6.175743551407559,9.868482664171967,0.6521129513415697,0.9064105398871981,False,False,14,1
"('INTERNAL', ('M0*M2 - M1*M2', 'M0'))",0.8948669140052472,0.7944185116583202,0.03926591380112407,19,5.805169117973086,9.877882227965204,0.5686559052784599,0.9163183164909249,False,False,14,1
"('INTERNAL', ('B0*M0', 'i'))",0.9101214166161969,0.8834497541356625,0.0012183074191320043,16,5.625155693794139,9.888859109711204,0.6455482296085504,0.9656275352801438,False,False,7,10
"('INTERNAL', ('M0*M1', 'M0 - M1'))",0.9035186286331539,0.7386564202120753,0.0563565000815786,16,3.565846196917903,9.871016645913704,0.4897296774024505,0.8900648621936563,False,False,14,2
"('INTERNAL', ('M0*M1', 'i'))",0.9101214166161969,0.7414949941668936,0.07465787850832256,14,5.6855770810913455,9.872366498904107,0.47507392735265513,0.8977410251733158,False,False,7,2
"('INTERNAL', ('M0*M1', 'r'))",0.9101214170259206,0.7748881484624834,0.06265689204104553,12,4.409142256041968,9.869443573312399,0.48597536309116307,0.9220055298076891,False,False,7,2
"('INTERNAL', ('M0 - M1', 'M0'))",0.8727066224558757,0.3578879621386217,0.19565883634543865,12,2.0606645843966462,9.820759540044214,0.15379834835781697,0.6354783105161963,False,False,14,2
"('INTERNAL', ('B0*M0', 'r'))",0.9101214170259206,0.8742789339140029,0.0009581005106633681,11,4.271082925149451,9.887265886365778,0.5754443279469135,0.9675808579616657,False,False,7,5
"('INTERNAL', ('B0*i', 'M0'))",0.916864721863958,0.8669638640430465,0.0008984931100795142,10,2.345613109908771,9.885216001944354,0.5507395204890022,0.966352227593225,False,False,7,2
"('INTERNAL', ('B0*s', 'M0'))",0.9101214397663681,0.877349146420918,0.000869643422947101,10,2.4754478888375986,9.88694096844759,0.5619887781089018,0.9699322550129089,False,False,7,4
"('INTERNAL', ('B0*M0 + B1*M1', 'M0'))",0.9101214166161969,0.8630802812620371,0.0011866317174645362,9,5.715184009121717,9.889627281006241,0.527526200995633,0.966554588655732,False,False,14,1
"('INTERNAL', ('M0', 'i'))",0.9025577020314854,0.6208705901838862,0.12407678056164842,9,5.5920933003348665,9.795251265629894,0.3111954975782618,0.852653763766773,False,False,7,1
"('INTERNAL', ('M0*M2 + M1*M2', 'M0'))",0.9010202179396632,0.6676916835599446,0.14412401677103448,9,6.02896197111266,9.88594293400587,0.34838174165339447,0.8790048330899758,False,False,14,1
"('INTERNAL', ('B0*M0 + B0*M1', 'M0'))",0.8926684395728189,0.8591016796015115,0.000998940215532183,9,4.252976031154641,9.891489675294304,0.5233941818291266,0.9652022264691169,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0 + M1'))",0.9138876625071313,0.6616755893944285,0.16699630441636334,8,5.279983980644263,9.879185869578654,0.327337033102321,0.8826402200995513,False,False,14,2
"('INTERNAL', ('B0*M0', 'M0 - M1'))",0.9101215113733346,0.8404385883183483,0.0015371929752407958,8,3.4255059021099825,9.890596615960375,0.4828908850189185,0.9607437067096046,False,False,14,6
"('TERMINAL', ('B0*s', 'i'))",0.9101214166161969,0.9101214166161969,0.0,8,0.9101214166161969,0.9101214166161969,0.5547494754580833,0.9814988457431653,True,False,0,6
"('INTERNAL', ('B0*M0*M1', 'M0'))",0.906968394197304,0.8478365928693535,0.0030240312306063374,8,6.317329715975855,9.888640778016411,0.49014680702929,0.963248759152247,False,False,14,4
"('INTERNAL', ('B0*M0', 'sqrt(Abs(M0))'))",0.9025614340912304,0.8613944215901007,0.0009304987083879093,8,4.409376430034868,9.887635098964573,0.5036560169167648,0.9676630525411951,False,False,14,2
"('INTERNAL', ('B0*M0', 'M0*M1'))",0.8920100908752686,0.8564307756233044,0.0005940811724644296,8,3.7334922379861544,9.88942647436615,0.4986776016989473,0.9660738733174907,False,False,14,2
"('INTERNAL', ('B0*sqrt(Abs(M0))', 'M0'))",0.8848616274970134,0.8519039904764572,0.0004435861986767975,8,3.4255059021099825,9.8909846504301,0.4941703512351595,0.964597324592638,False,False,14,2
"('INTERNAL', ('M0*M1*i', 'M0'))",0.8748659943352118,0.7393654575522405,0.09032020645073043,8,3.426010558011335,9.88772259260014,0.39076392682149613,0.9204058880181396,False,False,14,2
"('INTERNAL', ('B0*M0*i', 'B1*i'))",0.9260099364678528,0.9062505202247038,0.0006429982228681424,7,3.812019503211838,9.892908646830254,0.5225426039241456,0.9812591611500603,False,False,7,5
"('INTERNAL', ('B0*M0*s', 'B1*i'))",0.9260099364678528,0.9152498243706797,0.00026508304114652905,7,1.3420564037879446,1.8193582769394623,0.5319926329828728,0.983319607168449,False,False,3,3
"('INTERNAL', ('B0*M0', 'M0 + M1'))",0.9101214392070085,0.8555005247081937,0.0006398568746676474,7,2.4754478888375986,9.890371216676016,0.4719162134423074,0.9676557103680741,False,False,14,3
"('INTERNAL', ('B0*M0*M1', 'i'))",0.9101214166161969,0.8922439886172371,0.0001515028846845551,7,5.6855770810913455,9.889425312942501,0.5081363208119275,0.9778343377113642,False,False,7,5
"('TERMINAL', ('B0 + B1*s', 'i'))",0.8926683032494415,0.8926683032494415,0.0,7,0.8926683032494415,0.8926683032494415,0.5085675733064621,0.9779419068903666,True,False,0,4
"('TERMINAL', ('B0*i*s', 'B1 + B2*r'))",0.926054696216452,0.926054696216452,0.0,6,0.926054696216452,0.926054696216452,0.5086931075882619,0.9859578180507174,True,False,0,3
"('TERMINAL', ('B0*i*s', 'B1*i'))",0.9260099364678528,0.9260099364678528,0.0,6,0.9260099364678528,0.9260099364678528,0.5086474609668771,0.9859493341183949,True,False,0,4
"('TERMINAL', ('B0*s', 'r'))",0.9101214170259206,0.9101214170259206,0.0,6,0.9101214170259206,0.9101214170259206,0.4926821454684844,0.9827800172820013,True,False,0,4
"('INTERNAL', ('B0*M1 - M0*M1', 'i'))",0.9101214166161969,0.8802570908920229,0.0004916568107251093,6,5.6855770810913455,9.888361838808484,0.46385879634386706,0.9759982250829676,False,False,7,4
"('INTERNAL', ('B0*M0*M1', 'sqrt(Abs(r))'))",0.9101214067621777,0.882878585508006,0.0007251592651243287,6,4.272071063883243,9.891828865165955,0.46633131212417006,0.9766353188283101,False,False,7,4
"('INTERNAL', ('M0*M1', 'B0 - M0'))",0.9063955675836225,0.8277040818804947,0.0020533918290398406,6,3.327134394538286,9.889542127291433,0.41636655946756157,0.9616274702698375,False,False,14,4
"('INTERNAL', ('M0 - M1', 'r'))",0.898828217903283,0.7201409087360527,0.12635265963297046,6,1.6894477206597838,9.885652166501744,0.3294126226221515,0.9236725901926444,False,False,7,2
"('INTERNAL', ('M0*i', 'i'))",0.8950618105923479,0.8572985317994948,0.0005575843394722902,6,3.388362903695004,9.887735698090504,0.4426419399079774,0.970087994292273,False,False,7,2
"('INTERNAL', ('M0*M2 - M1*M2', 'i'))",0.8950618105923479,0.8543825265499405,0.002542535995271722,6,5.580878169326079,9.882913124795683,0.44000107671437666,0.969295706555404,False,False,7,2
"('TERMINAL', ('B0*i', 'i'))",0.8950618105923479,0.8950618105923479,0.0,6,0.8950618105923479,0.8950618105923479,0.47796411866092103,0.9794917890549241,True,False,0,4
