rank,reward,equations,equations_with_constants
1,0.950990049892279,B0*i*s ; B1*i,0.400014351265654*i*s ; 0.100009630513346*i
2,0.950891152609184,B0*i*s ; B1*i**2,0.329288540642368*i*s ; 0.181571482094468*i**2
3,0.9508186218041639,B0*i*s ; B1*r + i,0.735938148355255*i*s ; i - 0.423202572953627*r
4,0.9505612407554568,B0*i*s ; B1 + i - r,0.496441527154571*i*s ; i - r - 0.012828686998598
5,0.9503256947389527,B0*i*s ; B1 + B2*r,0.260226451091414*i*s ; -2.49281333133779*r - 0.0511981217113391
6,0.9503219853135346,B0*i*s ; B1 - 2*r,0.259879446954602*i*s ; -2*r - 0.0422505081170917
7,0.9503097323907571,B0*i*s ; B1 - r,0.258300444172765*i*s ; -r - 0.0241763759882771
8,0.950257316810431,B0*i*s ; B1*i - r,0.755194196419068*i*s ; 1.85621460948122*i - r
9,0.9495465797515041,B0*i*s ; B1*Abs(i)**(1/4),0.18492904413507*i*s ; -0.0299539219665482*Abs(i)**(1/4)
10,0.9491417606147021,B0*i*s ; B1 + B2*i,-0.00161219679839028*i*s ; 3.17128815259098 - 0.100353472084727*i
11,0.9491253066601992,B0*i*s ; -sqrt(Abs(B1 + i)),0.0016648762216523*i*s ; -sqrt(Abs(i + 7.58380740491813))
12,0.9491035884247463,B0*i*s ; sqrt(Abs(B1 + r)),-0.0016763678257133*i*s ; sqrt(Abs(r + 7.79975234016648))
13,0.949103588424692,B0*i*s ; sqrt(Abs(B1 - r)),-0.00167636042084535*i*s ; sqrt(Abs(r + 7.79984607432925))
14,0.949097729182851,B0*i*s ; sqrt(Abs(B1 + i)),-0.00167673975663535*i*s ; sqrt(Abs(i - 7.86478726340844))
15,0.9485145668603818,B0*i*s ; B1 - i - r,0.0178755065190849*i*s ; -i - r - 0.350724183798113
16,0.9483754967932885,B0*i*s ; B1*sqrt(Abs(i)),0.289299059405361*i*s ; -0.00777978625273774*sqrt(Abs(i))
17,0.9483542860925932,B0*i*s ; B1*Abs(r)**(1/4),0.313391373381754*i*s ; 42.2121044889539*Abs(r)**(1/4)
18,0.9483542860909853,B0*i*s ; B1*r,0.31339119362642*i*s ; 3.69753626849703*r
19,0.9483542859696601,B0*i*s ; Abs(r)**(1/4),0.31339833834708*i*s ; Abs(r)**(1/4)
20,0.9483542859651587,B0*i*s ; -r**2,0.313398440753543*i*s ; -r**2
21,0.9483542859627218,B0*i*s ; Abs(i)**(5/8)*sqrt(Abs(r)),0.313398495465376*i*s ; Abs(i)**(5/8)*sqrt(Abs(r))
22,0.9483542859388091,B0*i*s ; B1*sqrt(Abs(r)),0.31338596200881*i*s ; 0.238064042421836*sqrt(Abs(r))
23,0.9483542858821945,B0*i*s ; -r**2 + r,0.313384885085504*i*s ; -r**2 + r
24,0.9483542858404741,B0*i*s ; sqrt(Abs(r)),0.313400789688555*i*s ; sqrt(Abs(r))
25,0.9483542858204203,B0*i*s ; r,0.313383862119038*i*s ; r
26,0.9483542857933949,B0*i*s ; 2*r,0.313401519149027*i*s ; 2*r
27,0.9483542857263557,B0*i*s ; r*sqrt(Abs(i)),0.31340246629089*i*s ; r*sqrt(Abs(i))
28,0.948354285718244,B0*i*s ; B1*i*r,0.313402574868068*i*s ; 0.000857703701366043*i*r
29,0.9483542851080797,B0*i*s ; i*r,0.313408786221256*i*s ; i*r
30,0.9483542850756231,B0*i*s ; r**2,0.313409051519899*i*s ; r**2
31,0.9483238759041303,B0*i*s ; Abs(i)**(1/4),-0.0064638003344282*i*s ; Abs(i)**(1/4)
32,0.9482538873263969,B0*i*s ; B1 + i*r,0.3090093764665*i*s ; i*r + 9.7649755750683e-10
33,0.9473683531797423,B0*i*s ; sqrt(Abs(i - sqrt(Abs(i)))),-0.00242168871633207*i*s ; sqrt(Abs(i - sqrt(Abs(i))))
34,0.9470767478618751,B0*i*s ; B1 + i + r,-0.00156924366363072*i*s ; i + r + 5.38198320202013
35,0.9470582035315698,B0*i*s ; sqrt(Abs(i - r)),-0.00172589230132925*i*s ; sqrt(Abs(i - r))
36,0.946788608756938,B0*i*s ; Abs(B1 + r)**(1/4),-0.00152435798595475*i*s ; Abs(r + 994.608137086086)**(1/4)
37,0.9443716010654964,B0*i*s ; sqrt(Abs(i)),-0.00372854855807863*i*s ; sqrt(Abs(i))
38,0.9438293390433135,B0 + B1*i ; B2 + i*r,0.270436195364789*i + 0.00595118673812545 ; i*r + 0.006308930387332
39,0.9420869372939885,B0*i*s ; B1 + sqrt(Abs(i)),0.00111077829016756*i*s ; sqrt(Abs(i)) - 13.3200057684533
40,0.9408878881967246,B0*i*sqrt(Abs(s)) ; B1*i,0.590811339949946*i*sqrt(Abs(s)) ; 0.357576074612706*i
41,0.9403865961729323,B0*i*s ; B2*sqrt(Abs(B1 + i)),0.216564979594173*i*s ; -0.000644049902219177*sqrt(Abs(i + 270.356383968891))
42,0.9398259862539714,B0*i*s ; B1 - r - sqrt(Abs(r)),0.127462645502625*i*s ; -r - sqrt(Abs(r)) + 0.177271757628107
43,0.9397260483967859,B0*s*sqrt(Abs(i)) ; B1 + B2*sqrt(Abs(r)),0.0780377309488364*s*sqrt(Abs(i)) ; 0.0282554416327019 - 0.385739308581131*sqrt(Abs(r))
