rank,reward,equations,equations_with_constants
1,0.938256162892218,B0*i*s ; B1*i,0.400738737138444*i*s ; 0.0998157305101529*i
2,0.9196287623887628,B0*i*s ; B1*i + B2*r,0.401055509809401*i*s ; 0.0999924220135099*i - 8.1418107406628e-5*r
3,0.9195991071723101,B0 + B1*i*s ; B2 + B3*i,0.400439202970818*i*s - 6.73245606437457e-5 ; 0.100151953140777*i - 0.000100026335948513
4,0.9013166270176499,B0*s + B1*i*s ; B2*i + B3*i**2,0.4027533312965*i*s - 0.000172314063207246*s ; 0.00278466515509584*i**2 + 0.0990981275845557*i
5,0.9012856493671358,B0*i + B1*i*s ; B2*i,0.400281681200748*i*s + 0.000497566224336106*i ; 0.099948227844408*i
6,0.89227230044357,B0*i*s ; B1*i + B2*i*sqrt(Abs(r)),0.40067850647426*i*s ; 8.26356145815144e-5*i*sqrt(Abs(r)) + 0.0997640189711309*i
7,0.890492335213791,B0*i*Abs(s)**(3/4) ; B1 + B2*i + B3*r,0.336123668856124*i*Abs(s)**(3/4) ; 0.114391281300579*i + 0.00256728395269825*r - 0.0035193435763702
8,0.8834322316411112,B0*i + B1*i*s ; B4*sqrt(Abs(B3 + sqrt(Abs(B2 + i**2)))),0.389711019248068*i*s + 0.0102195804955689*i ; 0.139067432112163*sqrt(Abs(sqrt(Abs(i**2 - 0.897475982977043)) - 0.94734145370885))
9,0.8833854883159372,B0 + B1*i + B2*i*s ; B3*i,0.394910767207202*i*s + 0.00484393119092981*i + 0.000103710498127768 ; 0.10119140975477*i
10,0.8833707426237862,B0*s**2 + B1*i*s ; B2*i,0.40230720849343*i*s - 0.000115030926005992*s**2 ; 0.09992094555938*i
11,0.8833500649447301,B0*i**2 + B1*i*s ; B2*i,0.00039823476030102*i**2 + 0.400679909995829*i*s ; 0.0998488915090071*i
12,0.8832722116479331,B0 + B1*sqrt(Abs(i)) + B2*i ; B3*i**2 + B4*i*r,0.321471656445705*i - 0.00721498649090483*sqrt(Abs(i)) + 0.000659545497896716 ; 0.550902474812809*i**2 + 0.129133237025021*i*r
13,0.8831893934830193,B0*i ; B1*i**2 + B2*i*r,0.303437877999645*i ; 0.531789895296434*i**2 + 0.131823071240701*i*r
14,0.8792467574467133,B0*i + B1*Abs(i)**(3/2) ; B2*i + B3*r,-0.658725646205466*i - 0.414008098372466*Abs(i)**(3/2) ; 2.24668508604178*i - 0.0945710750302995*r
15,0.876026314807365,B0 + B1*i + B1*sqrt(Abs(i)) ; B2*i**2 + B3*i*r,0.0851773914971813*i + 0.0851773914971813*sqrt(Abs(i)) - 0.00732761928456237 ; 0.302888003942261*i**2 + 0.180143820624024*i*r
16,0.875931941253917,B0*s + B1*s**2 ; B2*Abs(i)**(3/2) + B3*i*r,-0.259518335665947*s**2 + 0.262280830914667*s ; 0.0415604134730584*i*r + 0.162397256897657*Abs(i)**(3/2)
17,0.8757386923394933,B0 + B1*i ; i*sqrt(Abs(B2 + Abs(i + r)**(1/4))),1.70022867150222*i + 0.000545285896097401 ; i*sqrt(Abs(i + r)**(1/4) + 1.30053415925167)
18,0.8730739802925008,B0*i*sqrt(Abs(s)) + i*s ; B1*i**2 + B2*i*r,i*s - 0.667016541988635*i*sqrt(Abs(s)) ; 0.0599556262441517*i**2 + 0.214225416619646*i*r
19,0.8729537017914177,B0 + B1*sqrt(Abs(s)) ; sqrt(Abs(B2 + B3*i)),0.14015342427438 - 0.0901240926144494*sqrt(Abs(s)) ; sqrt(Abs(0.0176107877791854*i + 1.28951798294454e-5))
20,0.8727210538141026,B0*i ; i*sqrt(Abs(B1 + B2*Abs(r)**(1/4))),1.5246415965976*i ; i*sqrt(0.883223249577072*Abs(r)**(1/4) + 0.97561002924804)
21,0.8726258860031756,sqrt(Abs(B0 + B2*sqrt(Abs(B1 + i)))) ; B3*i + B4*i*r,sqrt(Abs(0.00870384607823174*sqrt(Abs(i + 0.0811772664986008)) - 0.00270279431760586)) ; 0.229442900166218*i*r + 0.0570611985550345*i
22,0.8687135068811073,B0*Abs(i)**(9/8) ; B1*Abs(i)**(5/4) + B2*i*r,1.31048876939481*Abs(i)**(9/8) ; 0.0349282541550123*i*r + 1.30548580585807*Abs(i)**(5/4)
23,0.8663321797386082,B0 + B1*i*s ; sqrt(Abs(B2*sqrt(Abs(r)) + B3 + B4*i)),0.25391440692348*i*s + 0.0330475974780885 ; sqrt(Abs(0.00572544026114224*i + 0.00182635981327691*sqrt(Abs(r)) - 0.00169778097593525))
24,0.8657823618776233,B0*Abs(i)**(5/2) + B1*i*s ; B2*i + B3*i**2,0.398526114598475*i*s + 0.00970646137212277*Abs(i)**(5/2) ; 0.00761109875829605*i**2 + 0.0979146378282984*i
25,0.8635600862009608,B0 + B1*i + B2*s ; sqrt(Abs(B3 + B4*r**2)),-0.0737825946064416*i - 0.00240634836270681*s + 4.51318134785612 ; sqrt(Abs(0.000218194295644716*r**2 + 20.4212453905524))
26,0.8627090346297684,B0*i ; B1*Abs(i)**(5/4) + B2*i*r,0.541813306727408*i ; 0.0724305656042692*i*r + 0.529514675165796*Abs(i)**(5/4)
27,0.8620757091460298,i*Abs(B0*s + B1)**(1/4) ; B2*i**2 + B3*i*Abs(r)**(1/4),i*Abs(0.00492528775424499*s + 0.0157135489317404)**(1/4) ; 0.199909772887617*i**2 + 0.271034644875716*i*Abs(r)**(1/4)
28,0.8605761894504029,B2*s*sqrt(Abs(B0 + B1*s)) ; B3 + B4*i,0.0410174118126968*s*sqrt(Abs(17.9392368056381*s - 16.8188045069179)) ; 0.0989325955703738*i + 0.000278665890868085
29,0.8599381534063999,B0*i + B1*i*sqrt(Abs(i - s)) ; B2 + B3*r + B4*i*r,0.501260872776565*i*sqrt(Abs(i - s)) - 0.142522982966117*i ; 0.337124765171867*i*r - 0.00620599456575763*r + 0.00255290173038828
30,0.8569784041956254,B0*i + B1*i**2 + B1*i*s ; i*sqrt(Abs(B2 - i)),0.0307500514588042*i**2 + 0.0307500514588042*i*s + 1.43887334425901*i ; i*sqrt(Abs(i + 1.3663631614766))
31,0.855134240661528,sqrt(Abs(B0 + B1*i + B2*s)) ; sqrt(Abs(B3 + B4*r**2 + i)),sqrt(Abs(0.290928948417205*i - 0.0214011420252938*s + 19.6617967334466)) ; sqrt(Abs(i + 0.00020997020417212*r**2 + 19.7056893308313))
32,0.8540620531897429,B0 + B1*i ; i*sqrt(Abs(B3 + sqrt(Abs(B2 + i - r)))),12.6919809915035*i + 0.0024638854503273 ; i*sqrt(sqrt(Abs(i - r + 1.37595544681848)) + 154.393899003367)
33,0.8532106937650081,B0 + B1*Abs(s)**(3/2) ; B2*i,0.107012880773198 - 0.0822426186837426*Abs(s)**(3/2) ; 0.228031209333213*i
34,0.8494325927780807,B0 + B1*i + B1*sqrt(Abs(s)) ; sqrt(Abs(B2 + B3*r + i)),0.0416287374533336*i + 0.0416287374533336*sqrt(Abs(s)) + 3.75929123604521 ; sqrt(Abs(i + 0.0282117746545715*r + 14.6177592640059))
35,0.8486119401914537,B0*s + B1*s**2 + B2*i*s ; B3*i + B4*i**2,0.393299590607765*i*s - 0.00720165456276172*s**2 + 0.00709617521876748*s ; 0.00111125917315387*i**2 + 0.0999705700317235*i
36,0.8485896030028526,B0*i + B1*i*s ; B2*i + B3*i**2 + B4*i*r,0.390684275297007*i*s + 0.147436747817721*i ; -0.093122258495531*i**2 - 0.101883122676791*i*r + 0.239927158189383*i
37,0.848589309860794,B0*i + i**2 ; B1*i + B2*i**2 + B3*i*r,i**2 - 10.922014669744*i ; 1.39654466795884*i**2 - 0.00377827377756958*i*r - 11.2232497492563*i
38,0.8485562922003795,B0 + B1*i**2 + B2*i*s + i ; B3 + sqrt(Abs(B4 + B5*i)),-0.492271612241315*i**2 + 0.0586989494859429*i*s + i - 0.00775616937116631 ; sqrt(Abs(2.3269690844104*i + 2.32147843242252)) - 1.53149280614376
