rank,reward,equations,equations_with_constants
1,0.950990049706309,B0*i*s ; B1 + B2*i,0.400004746551652*i*s ; 0.100000829872074*i - 9.84958650499724e-8
2,0.9509900496160837,B0*i*s ; B1*i,0.400005937457849*i*s ; 0.100000452146877*i
3,0.9320653476510133,B0*i*s ; B1*i + B2*r,0.400006162834665*i*s ; 0.100000577602367*i - 5.76389942273527e-8*r
4,0.9198746725560072,i*sqrt(Abs(B0 + B1*i)) ; B2*i*sqrt(Abs(i + r)),i*sqrt(Abs(0.132681143654957*i - 0.130236153484098)) ; 0.267256210837872*i*sqrt(Abs(i + r))
5,0.913517247466083,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.400001795550573*i*s + 7.81373578909888e-7*s ; 0.0999989588497767*i - 4.47659173875549e-7*r + 4.68495437066415e-7
6,0.9135172474567355,B0*s + B1*i*s ; B2 + B3*i,0.400000178152773*i*s + 3.94464497710749e-7*s ; 0.100000089627996*i + 6.19804760519824e-9
7,0.9135172474565584,B0*s + B1*i*s ; B2*i + B3*r,0.400000202911654*i*s + 3.87078068317343e-7*s ; 0.10000011442449*i + 2.44225698695461e-9*r
8,0.913517247456523,B0*s + B1*i*s ; B2*i,0.400000234780564*i*s + 3.8556893769437e-7*s ; 0.100000121036158*i
9,0.9135172474525902,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.400005210447528*i*s - 4.94451115778072e-6*i ; 0.0999996152431587*i + 3.47985924283616e-7*r - 3.22958831282917e-7
10,0.9135172474401476,B0 + B1*i*s ; B2 + B3*i + B4*r,0.399999128827941*i*s + 5.41325893099549e-7 ; 0.0999996189477004*i + 3.06917211740855e-7*r + 1.40925896072145e-7
11,0.9135172474301522,B0*i*s ; B1 + B2*i + B3*r,0.399999237793104*i*s ; 0.100001195464482*i + 4.04383287135032e-7*r - 4.23340528145044e-7
12,0.9135172473757257,B0*i + B1*i*s ; B2*i + B3*r,0.400015104353682*i*s - 1.02089663578694e-5*i ; 0.0999976174418109*i + 5.21070258996524e-8*r
