node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0*M1', 'M0'))",0.8546365428049827,0.06280598885461092,0.029335135988475442,118,1.07452788639569,9.256262351962171,0.029300786460581985,0.11905348490399793,False,False,14,2
"('INTERNAL', ('M0*M2 - M1*M2', 'M0'))",0.7523176974190083,0.0934737224901445,0.03467855481099906,39,1.102044394111427,9.438160625327566,0.03675187165073033,0.2251967188889659,False,False,14,1
"('INTERNAL', ('M0*i', 'M0'))",0.6302591585507376,0.06622818782910163,0.03164458234646625,27,1.0895132221070465,9.486393522263748,0.01935275222109063,0.22454956985176416,False,False,14,1
"('INTERNAL', ('M0 - M1', 'M0'))",0.5423425153559273,0.03887142477851206,0.013183789781900494,27,0.7667666589611223,9.544215056739532,0.009341723625204293,0.1861747216908246,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0 - M1'))",0.4245596366106974,0.08277690750793015,0.018800609561741045,10,1.0383520183983095,9.751886116991583,0.01789226271137482,0.39288258279944954,False,False,14,2
"('INTERNAL', ('B0*M0', 'M0'))",0.4051922416941531,0.0766770455232006,0.018023110494153293,9,1.1763673558312127,9.754417531554042,0.015797266147598438,0.4063774332571417,False,False,14,5
"('INTERNAL', ('M0 + M1', 'M0'))",0.310976623229716,0.06201355935217877,0.011733252532831915,9,0.87925996222958,9.759576410717758,0.012389915358099326,0.38910205102081097,False,False,14,1
"('INTERNAL', ('M0*M1', 'B0 - M0'))",0.7128185540957588,0.21471348981246038,0.08024855583493798,8,0.7116297626447675,9.846094966789408,0.05992806466675481,0.5688823066430244,False,False,14,6
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.37222321755051285,0.09257268401780798,0.020719477082576036,8,1.1420941326019998,9.76003455114973,0.019177718174284614,0.4481910646180742,False,False,14,2
"('INTERNAL', ('M0', 'M0*M1'))",0.030611616881673676,0.007468538200019511,0.00017574874713148768,8,1.0523905010677659,9.759846589927749,0.0035667772804981444,0.3463592452462526,False,False,14,2
"('INTERNAL', ('M0*M1*M3 - M2*M3', 'M0'))",0.6542198215947724,0.17638119058923424,0.07153381467590501,7,1.1270782086168099,9.75993422636977,0.042478048688813434,0.5578893975015671,False,False,14,1
"('INTERNAL', ('B0*i', 'M0'))",0.5310196912633436,0.2052948234049559,0.06052019452858464,7,0.632404565903397,9.753196690958735,0.05263229117644556,0.5837775848723508,False,False,7,5
"('INTERNAL', ('M0*s', 'M0'))",0.4335852243848952,0.07307958512961342,0.025473488608074347,7,0.5778557874865522,9.752324536286402,0.014176752434133787,0.4555103522838174,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0))', 'M0'))",0.17378548180431067,0.02975418567825307,0.004178050976244821,7,0.5524787213113965,9.751886116991583,0.006639961997608549,0.4063499795995616,False,False,14,1
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.03258596716389774,0.004657584694672092,0.00015166564716331257,7,0.9396849109963725,9.751886116991583,0.003611183533118931,0.3754067874701182,False,False,14,1
"('INTERNAL', ('M0*M2 + M1*M2', 'M0'))",0.03246900259385293,0.01422138477741601,0.00025906661903434854,7,1.1534758384791717,9.759706393962128,0.004646788203182908,0.38745116455678613,False,False,14,1
"('INTERNAL', ('M0', 'M0 - M1'))",0.03229938454592701,0.004614199128948323,0.00014903573447244068,7,0.9685502570241669,9.751886116991583,0.003606818683780651,0.37535137841943594,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.03110966630209389,0.00566044528255703,0.00012983224546695533,7,0.7765428639910167,9.753012039566642,0.00371291469786823,0.3766855731364203,False,False,14,1
"('INTERNAL', ('M0*M2 - M1*M2', 'sqrt(Abs(M0))'))",0.5575806023195261,0.15372149943220131,0.04896233503594269,6,0.3528608611745434,9.781214713770984,0.03295426193132141,0.5672773253766965,False,False,14,2
"('INTERNAL', ('M0', 'i'))",0.17148893467428847,0.030760828783469626,0.004756274775036172,6,0.6415353874915092,9.620012272240324,0.00706354497971269,0.4452839532891482,False,False,7,2
"('INTERNAL', ('M0*M1', 'sqrt(Abs(M0))'))",0.12569408652125602,0.026864845913760153,0.0024989675625694853,6,1.0338600473218633,9.75302824345347,0.006555395137391837,0.44091531968510267,False,False,14,2
"('INTERNAL', ('M0*M1', 'M0 + M1'))",0.0647012956992671,0.011075142758912207,0.0006906731811129496,6,0.8551602617408907,9.75322517131735,0.004706109970584895,0.42278210364445107,False,False,14,2
"('INTERNAL', ('M0', 'B0*M0'))",0.8300691973504609,0.4563483442849392,0.13911970463163278,5,0.7733722012248666,9.760034551266834,0.1446646412140532,0.809666978081849,False,False,14,3
"('INTERNAL', ('B0 + B1*i + i*s', 'B2 + B3*i + B4*r - M0'))",0.8129684273903283,0.8129684273903283,0.0,5,1.1005477826177075,1.6921230411506962,0.3688761979664121,0.9604514564994008,False,False,3,1
"('TERMINAL', ('B0 + B1*i + i*s', 'B2 + B3*i + B4*r'))",0.8129684273903283,0.8129684273903283,0.0,5,0.8129684273903283,0.8129684273903283,0.3688761979664121,0.9604514564994008,True,False,0,1
"('INTERNAL', ('B0 + B1*M0', 'M4*sqrt(Abs(B2*M1*M2*M3 - M0*M1*M2*M3))'))",0.7588690514449117,0.38895623648871314,0.11474899251990678,5,1.514702504996951,9.857830341646297,0.1131849507397052,0.7705823414339383,False,False,10,3
"('INTERNAL', ('-M0*M1 + M1*s', 'M0'))",0.5948546682493612,0.1322961974011771,0.06703320261654572,5,0.904809389664736,9.751886116991587,0.025532406605052377,0.5863123723387711,False,False,14,1
"('INTERNAL', ('M0*M3 + M1*M3 - M2*M3', 'M0'))",0.5359926098472391,0.1258576916160878,0.052747459367376584,5,0.7693904925786088,9.760478605398399,0.02407133967755762,0.5807950586584272,False,False,14,1
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.5281857679629675,0.1964794691056151,0.058370221736463355,5,0.0,9.900000000000002,0.04224634184722599,0.6385077915704109,False,False,0,5
"('INTERNAL', ('M0*M3 - M1*M3 - M2*M3', 'B0 - M0'))",0.36202886892942865,0.0770361231790517,0.025469708895107423,5,0.7126488135698511,9.79230127058112,0.014354480350136473,0.5370210508407457,False,False,14,3
"('INTERNAL', ('i', 'M0'))",0.2991702894802285,0.0611980859860402,0.01770152524093363,5,0.04964120476968299,9.620012272240324,0.01173796029474965,0.5220030768765531,False,False,7,1
"('INTERNAL', ('-M0*M1 + M1*i', 'M0'))",0.1694598368045903,0.052875993854556436,0.004320868835134965,5,0.6923906457638378,9.753579039325935,0.010471747751868142,0.5139313328165489,False,False,14,1
"('INTERNAL', ('B0 - i', 'B1 - M0'))",0.0336718919250487,0.027581889619886966,0.0001426589714409234,5,0.0,9.900000000000002,0.0070901133696280524,0.4885601761968556,False,False,0,5
"('INTERNAL', ('s', 'M0'))",0.03316645559199037,0.006893426264203638,0.0002160272263968722,5,0.04715083045492401,9.617954647720305,0.004851433686999121,0.4667587328379765,False,False,7,1
"('INTERNAL', ('B0*M0 + M0*i', 'M0'))",0.03246900259385293,0.02366558341754025,0.00017850894064756306,5,0.759358511983726,9.76003455094391,0.006629861694549991,0.48451035091022276,False,False,14,3
"('INTERNAL', ('B0*i', 'M0*M1'))",0.030269325311305446,0.011541409276859389,0.00011861433495464213,5,0.6949743620877953,9.839287354677989,0.005313030785135892,0.47174685544223266,False,False,7,3
"('INTERNAL', ('M0*M1*M2', 'M0'))",0.01832634324880482,0.0037184876374513286,6.669747795997295e-05,5,0.7823318708968179,9.753503021344656,0.004549848653053344,0.46331968490861003,False,False,14,1
"('INTERNAL', ('B0*s', 'M0'))",0.0063518321154530264,0.00508146569247858,8.069154243104442e-06,5,0.634664695172634,9.761038078680459,0.004677954906867376,0.46479925279527623,False,False,7,3
"('INTERNAL', ('M1*sqrt(Abs(M0))', 'M0'))",0.006073243807625268,0.002386872633357648,1.0687801412463817e-05,5,1.07452788639569,9.752283325032302,0.00442666616191341,0.46186944636909705,False,False,14,1
"('INTERNAL', ('M0', 'r'))",2.337810192740497e-294,4.675620385480994e-295,0.0,5,0.06548333445104071,9.626316625815756,0.004210744514489474,0.4592581264399005,False,False,7,1
"('INTERNAL', ('B0', 'M0'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('INTERNAL', ('M0', 'B0'))",0.0,0.0,0.0,5,0.0,0.0,0.004210744514489474,0.4592581264399005,True,True,0,3
"('INTERNAL', ('0', 'M0'))",0.0,0.0,0.0,5,0.0,9.900000000000002,0.004210744514489474,0.4592581264399005,False,False,0,5
"('INTERNAL', ('B0*M0*M1', 'B1*sqrt(Abs(M0))*sqrt(Abs(M1)) - M2 - M3'))",0.8808003426150153,0.5725430635221298,0.15785476554348746,4,1.4426151216977103,9.858499919256666,0.18175513992395156,0.884955131315883,False,False,10,2
"('TERMINAL', ('B0 + B1*i*s', 'B2*i'))",0.8632675145652777,0.8632675145652777,0.0,4,0.8632675145652777,0.8632675145652777,0.36244683345982054,0.9751706139368543,True,False,0,2
"('INTERNAL', ('M0*M1', 'M0*M1*M2'))",0.8471323453051092,0.22778207868199044,0.17062836804398596,4,0.8192999911511486,9.83566152699948,0.046502649974975475,0.7019059449874391,False,False,14,2
"('INTERNAL', ('B0*M0 + B1*M0*s', 'M0*M1*M2*M4 + M1*M2*M4*r + M3*M4 - M5'))",0.8292388630453749,0.21437036608737342,0.1682050991317169,4,1.0551272051047114,9.878180632691508,0.042911129971556126,0.6929329521823817,False,False,6,1
"('INTERNAL', ('B0 + B1*M0', 'B2*M1*sqrt(Abs(M0))'))",0.8278725073333559,0.23067695980556252,0.1585078766689406,4,0.8589198258091322,9.854846692443669,0.0472954170909675,0.703821430402466,False,False,14,2
"('INTERNAL', ('B0*sqrt(Abs(M0)) + B1*i', 'B2*M0 + i'))",0.8229097726535141,0.5097126127955017,0.11885411484432253,4,1.245162703403698,9.862901827041895,0.1511288007013135,0.8577999847488095,False,False,14,2
"('INTERNAL', ('M0*M1*M3 - M2*M3', 'M0*M1'))",0.8222346557843112,0.21422843752460535,0.16447184952380242,4,1.1943130949340957,9.880883073900106,0.042873841646676784,0.692837117488488,False,False,14,2
"('INTERNAL', ('B0 + B1*M0 + B2*M1', 'M4*sqrt(Abs(B3*M1*M2*M3 - M0*M1*M2*M3))'))",0.8202568961038882,0.580695058256143,0.13904897851450285,4,1.476417205236961,9.760034548672278,0.18592702028368605,0.8882856644433856,False,False,10,2
"('INTERNAL', ('B0*M0', 'B1*M1*sqrt(Abs(M0))'))",0.8160177600706973,0.22092526884207486,0.1575300687375274,4,0.8973511169569903,9.862028815500445,0.044649708773413184,0.6973388840151334,False,False,14,2
"('INTERNAL', ('M0*i - M1*i', 'M0*M1'))",0.8029130922599601,0.34386513322002654,0.1535606936729185,4,1.2166757921740692,9.854846692488808,0.08300710811951462,0.7732315769614746,False,False,14,2
"('INTERNAL', ('-M0*M2 - M1*M2 + M2*i', 'M0 - M1'))",0.7944764276958205,0.26425407810893486,0.129651360178292,4,0.6360162727352742,9.85561885727017,0.05693911159950709,0.7255040278777904,False,False,14,2
"('INTERNAL', ('i**2', 'M0*M1'))",0.7906456506316863,0.2010298935840153,0.1545096887858202,4,0.0632103789670099,9.75367936708108,0.03947258040820594,0.6838430266152353,False,False,7,2
"('INTERNAL', ('M0*M1', 'M0*M1 - M2'))",0.7902563950849026,0.3131454988585447,0.13657286503576938,4,1.0732526774925741,9.821855718926159,0.07242460865499271,0.7554025224329759,False,False,14,2
"('INTERNAL', ('-M0*M1*M2 + M2*s', 'M0 + i'))",0.7848685379490381,0.19881399319933868,0.1526728350325073,4,0.33342738533352095,9.860062243249764,0.03891447701801216,0.6823169123151982,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0 - M0 - M1'))",0.7734488906283733,0.2757397666715892,0.1269160738015394,4,0.7085860036763488,9.759831403521346,0.060424969812100666,0.7327016364018648,False,False,14,2
"('INTERNAL', ('B0*M0*M2*M3 - M1*M2*M3', 'B1*Abs(i)**(1/4)'))",0.7661046284451036,0.45824256185553014,0.11214851054473653,4,1.3664404142676372,9.874189264884775,0.12802172875810863,0.8335868057401297,False,False,7,2
"('INTERNAL', ('B0*M0*M1*M2', 'B1*sqrt(Abs(M0))*sqrt(Abs(M1)) - M2 - M3'))",0.7629557792494399,0.35013833901528757,0.1533291842030362,4,1.480108749451891,9.872537189362026,0.08524770064479663,0.7767850459389571,False,False,10,2
"('INTERNAL', ('B0 + B1*M0 + B2*M1', 'B3*M2*sqrt(Abs(M0))*sqrt(Abs(M1))*sqrt(Abs(i))'))",0.7285138785920049,0.34615175223117334,0.13505949714784263,4,1.2745628569318868,9.88104928878016,0.08382070876461986,0.7745302238050663,False,False,10,2
"('INTERNAL', ('M0*M1 + M2', 'i'))",0.6930511994743933,0.20230692174280182,0.10936662930119738,4,0.416484099615796,9.764193914436081,0.039795912090767785,0.6847204079678232,False,False,7,2
