rank,reward,equations,equations_with_constants
1,0.9375593902034253,B0*i*s ; B1 + B2*i,0.398702631446678*i*s ; 0.100270077470516*i + 6.111461249253e-5
2,0.9375276828590542,B0*i*s ; B1*i,0.398002956058363*i*s ; 0.100506355663321*i
3,0.9189613964324498,B0 + B1*i*s ; B2*i + B3*r,0.403391494286423*i*s - 0.000329477513340683 ; 0.100885391863217*i - 0.000279488916993091*r
4,0.9188800607294036,B0*i*s ; B1*i + B2*r,0.397857014908091*i*s ; 0.100424918526335*i + 3.73250843997888e-5*r
5,0.9136178346418692,B0*i*s ; B1 + B2*sqrt(Abs(i)),-0.143218916536228*i*s ; 0.0173245464949005 - 0.180821582958932*sqrt(Abs(i))
6,0.9100310097473828,B0*i*Abs(s)**(3/4) ; B1*i,0.377155055005265*i*Abs(s)**(3/4) ; 0.107150605032451*i
7,0.9068074196089037,B0 + B1*i*s ; B2 + 3*i,-0.00303144590513978*i*s + 4.70628425069688 ; 3*i + 4.69148379325474
8,0.9034071713795064,B0 + B1*i*s ; B2*sqrt(Abs(i)),0.384651158331915*i*s + 0.00899103037273615 ; 0.056654594352691*sqrt(Abs(i))
9,0.9008383092864719,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.254069861231737*i*s + 0.222421438345401*s ; -0.748545991939432*i - 3.43690966879553*r + 3.43462879249539
10,0.9007933243322195,B0*s + B1*s**2 ; B2 + B3*i + B4*r,-0.255815052839489*s**2 + 0.263523007006118*s ; 0.0835617395208217*i - 0.00895569360722709*r + 0.00889096389428785
11,0.9007166363734859,B0*s + B1*i*s ; B2*i + B3*i**2,0.402105983089129*i*s - 0.000249416055097814*s ; -0.00272684109089199*i**2 + 0.101560549796031*i
12,0.9007090063238996,B0*s + B1*i*s ; B2 + B3*i,0.402949571962742*i*s - 0.000357907719594611*s ; 0.100876558780525*i - 1.62513366001163e-5
13,0.9006974722073134,B0*i + B1*i*s ; B2*i,0.391197707383521*i*s + 0.00748080339852696*i ; 0.102541701533588*i
14,0.9006953648437332,B0*i*s ; B1 + B2*i + B3*r,0.404573909762164*i*s ; 0.0997926505094493*i - 0.000420479040221122*r + 0.000422613065051432
15,0.9006897955813613,B0*i*s ; B1*i + B2*i*r,0.395507137304966*i*s ; 0.00356935447735087*i*r + 0.0989812557091485*i
16,0.9006044845749628,B0*i**2 - i ; B1*i + B2*i*r,-0.350824114442667*i**2 - i ; -0.0360773023773937*i*r - 1.29301984416312*i
17,0.9004822681673308,B0*s + B1*Abs(s)**(3/2) ; B2 + B3*i + B4*r,0.424694226320544*s - 0.409815593425552*Abs(s)**(3/2) ; 0.068111589315969*i - 0.0157820455494484*r + 0.0159578758809638
18,0.8989069855880545,B0*s + B1*s**2 ; B2*i + B3*Abs(i)**(3/2),-0.261641127007766*s**2 + 0.265532504129115*s ; 0.0710438448111117*i + 0.0630621246333182*Abs(i)**(3/2)
19,0.8985374125394778,B0 - sqrt(Abs(B1 - i*s)) ; B2 + B3*i + B3*r,1.23375139383588 - sqrt(Abs(i*s - 1.43797775750759)) ; -0.00534415499641438*i - 0.00534415499641438*r + 0.0384687683017682
20,0.8978316606168039,B0*i*s + i**2 ; B1*i + B2*i*r,i**2 + 0.887727684898785*i*s ; -0.524399685964837*i*r + 0.590692813768604*i
21,0.8963126374070705,B0*s + B1*s**2 ; B2*i + B3*r,-0.25207688057893*s**2 + 0.257401429633047*s ; 0.105434712207512*i - 0.000623113192283417*r
22,0.8950879874967815,B0*i*s ; B2*sqrt(Abs(B1 + 2*i)),-0.150326618078926*i*s ; -0.117792998084226*sqrt(Abs(2*i - 0.0495079491764903))
23,0.8949351486624031,B0 + B2*sqrt(Abs(B1 + s)) ; B3 + B4*i,0.12853559738944 - 0.161573620896801*sqrt(Abs(s - 0.488374377239893)) ; 0.114347077945895*i + 0.000395112112650219
24,0.8943322785976159,B0*i*s + i ; i*Abs(B1 + i)**(1/4),0.0447954118427352*i*s + i ; i*Abs(i + 0.2679112417824)**(1/4)
25,0.8942896195044501,B0*s + B1*s**2 ; B2*i,-0.247398531773982*s**2 + 0.253171202959026*s ; 0.103779925930607*i
26,0.8942731391055022,B0*s + B1*s**2 ; B3*i*sqrt(Abs(B2 + r)),-0.247355840595578*s**2 + 0.253131749303193*s ; 0.00338644979280422*i*sqrt(Abs(r + 938.163001023997))
27,0.8917847286413597,B0*i + B1*i*sqrt(Abs(s)) ; B2*i + B3*i**2,-0.0753354494193732*i*sqrt(Abs(s)) + 3.61995046562648*i ; 0.199503545381624*i**2 + 3.2913910462796*i
28,0.8917068504359444,B0*i + B1*i**2 ; B2*i + B3*i*sqrt(Abs(r)),-0.394474245508089*i**2 + 0.29227423990257*i ; 0.284090368967322*i*sqrt(Abs(r)) - 0.000332375219803296*i
29,0.8913757562033198,B0*i ; B1*i - i*sqrt(Abs(B2 + r)),-0.0950351288977271*i ; -i*sqrt(Abs(r + 1.96047933359536)) + 1.02268998613503*i
30,0.8909658941762335,B0*i + B1*i*s ; i*sqrt(Abs(B2 + r)),1.33066565941667*i*s - 1.50971706456461*i ; i*sqrt(Abs(r + 7.32426231224203))
31,0.8908116931894814,B0*i + B1*i*sqrt(Abs(s)) ; B2 + B3*i + B4*r,0.562780621570866*i*sqrt(Abs(s)) - 0.227432746167953*i ; 0.0897683994092251*i + 0.00267466208314644*r - 0.00205475903884394
32,0.889962086554688,B0*i + B1*i**2 ; i*sqrt(Abs(r + sqrt(Abs(B2 + i)))),-0.145185738606287*i**2 - 1.71058956437098*i ; i*sqrt(Abs(r + sqrt(Abs(i + 2.12497851564301))))
33,0.8898029189063809,B0*i ; i*sqrt(Abs(B1 + B2*r)),-1.18691027376301*i ; i*sqrt(Abs(0.979686606465596*r - 3.02285549222422))
34,0.8887008459629312,B0*i + B1*i*sqrt(Abs(s)) ; B2*i,0.625970512859424*i*sqrt(Abs(s)) - 0.261050859618171*i ; 0.0844049944164454*i
35,0.8882451894990665,B0 + B1*i*s ; B2 + B3*sqrt(Abs(r)) + B4*r,0.423090819629103*i*s + 0.041212278796594 ; 0.0181591235819006*r - 0.0391389851808399*sqrt(Abs(r)) + 0.0538190158213231
36,0.8867974087809077,B0 + B1*i ; B2*i + B3*i*sqrt(Abs(r)),18.6424842129787*i - 0.000389205561974437 ; 0.0411172275733055*i*sqrt(Abs(r)) + 18.3064484746508*i
37,0.8861574140129888,B0*s + B1*s*sqrt(Abs(i)) ; B2*i + B3*i*r,0.255392877760529*s*sqrt(Abs(i)) - 0.0332559788782508*s ; 0.0304423260475773*i*r + 0.0869919969985721*i
38,0.884736156532799,B0 + B1*sqrt(Abs(s)) ; B2 + B3*i,0.172754481693865 - 0.141629987109097*sqrt(Abs(s)) ; 0.224391465797413*i + 0.00339141081678902
39,0.8835218183477839,B0*i + B1*i**2 ; B2 + B3*r + Abs(r)**(3/2),0.209401374136457*i**2 - 0.120140018035976*i ; 0.763457214701283*r + Abs(r)**(3/2) - 0.0011031180087002
40,0.8830578250862448,B0*s + B1*s*sqrt(Abs(i)) ; i*sqrt(Abs(B2 + B3*i*r)),0.277968721765207*s*sqrt(Abs(i)) - 0.0367091708633358*s ; i*sqrt(Abs(0.00836521557773731*i*r + 0.00922569767951011))
41,0.8829250564568426,B0*s + B1*s*sqrt(Abs(i)) ; B2 + B3*i,0.284565686385206*s*sqrt(Abs(i)) - 0.037644673237783*s ; 0.101501217102465*i - 5.96944633848522e-5
42,0.8829049035328849,B0*s + B1*s*sqrt(Abs(i)) ; B2*i,0.284237704159449*s*sqrt(Abs(i)) - 0.0375371483443357*s ; 0.101218623652718*i
43,0.8828000828677901,B0*i + B1*i**2 ; B2 + B3*r + B4*r**2,0.0422531963832721*i**2 - 0.0940381947008067*i ; 0.374735072701856*r**2 + 0.28488292762065*r - 0.00737340421017044
44,0.8827964027689039,B0*s + B1*i*s ; B2*i + B3*i**3,0.401976739349698*i*s - 0.000238651926462097*s ; -0.00656653885282567*i**3 + 0.101392282693966*i
45,0.8827859922208818,B0 + B1*s + B2*i*s ; B3*i,0.40300091914798*i*s - 0.000371147261028827*s + 2.51371605128135e-5 ; 0.100842776227768*i
46,0.8827849773765247,B0*s**2 + B1*i*s ; B2*i,0.402370195715855*i*s - 0.000332569492506169*s**2 ; 0.100812749773872*i
47,0.8827803614191716,B0*i + B1*i*Abs(s)**(1/4) ; B2 + B3*i*r + B3*i,-0.00430367217896152*i*Abs(s)**(1/4) - 0.0979828680711086*i ; -0.389673476016168*i*r - 0.389673476016168*i - 4.8083554359673e-5
48,0.8827761664797088,B0*sqrt(Abs(i)) + B1*i ; B2*i**2 + B3*i*r,0.297115729303229*i + 0.000391840760767124*sqrt(Abs(i)) ; 0.522830134017305*i**2 + 0.134614760816085*i*r
49,0.882773749537704,B0*i + B1*Abs(i)**(3/2) ; B2*i**2 + B3*i*r,0.298204931381325*i + 0.00282702561776942*Abs(i)**(3/2) ; 0.528110421040172*i**2 + 0.133831221598438*i*r
50,0.882773592510388,B0*i ; B1*i**2 + B2*i*r,0.298821626577774*i ; 0.525438587403445*i**2 + 0.134240881626956*i*r
51,0.8827735925103878,B0*i**2 + B1*i*s ; B2*i,0.00594564434723657*i**2 + 0.397143355521906*i*s ; 0.101006545568368*i
52,0.8827735925103877,B0*i + B1*i*s ; B2*i + i**2 + i*r,0.391197713494735*i*s - 0.273467448212643*i ; i**2 + i*r - 0.198406545250977*i
53,0.8827710753458785,B0*i + B1*i**2 ; B2 + B3*i + B4*i*r,-0.394835953418263*i**2 + 6.68988062771353*i ; 0.00610732520920898*i*r + 6.39452899115979*i - 6.39175006207872e-5
54,0.8827703687744801,B0*i*s ; B1 + B2*r + B3*r**2,-0.0565736956817539*i*s ; 0.428219254571043*r**2 + 0.289047569871859*r - 0.00650674160055226
55,0.8827703463603259,B0 + B1*i + B2*i**2 ; B3*i + B4*i*r,-0.395116077803974*i**2 + 6.40837409472519*i + 6.45082384462663e-5 ; 0.00638079806707953*i*r + 6.11300686173977*i
56,0.8826915431089829,B0 + B1*i + B2*i*s ; i*sqrt(Abs(B3 - i)),0.0283566530440035*i*s + 1.56467942644681*i - 5.04748993070141e-5 ; i*sqrt(Abs(i + 1.67979046316125))
57,0.8826693974612149,B0*i*s ; B1*i + B2*r**3,0.397917901868128*i*s ; 0.100467393287856*i + 3.28333012527183e-5*r**3
58,0.8826317964851718,B0 + B1*i ; B2 + B3*r + B4*r**2,-0.0874318262458842*i - 9.48345823692229e-5 ; 0.336229861805794*r**2 + 0.272439251962996*r - 0.00777607496882678
59,0.8825942756923486,B0*i ; B1 + B2*r + B3*r**2,-0.0885318891808567*i ; 0.332548547901257*r**2 + 0.271183600320323*r - 0.0078251529247408
60,0.8822091624950635,B0*Abs(s)**(3/2) + B1*s**2 ; B2*i,-0.650285133358361*s**2 + 0.650555008879414*Abs(s)**(3/2) ; 0.1022329881485*i
61,0.8821812513708945,B0 + B2*sqrt(Abs(B1 + s)) ; B3*sqrt(Abs(i)),0.124498167319111 - 0.0925169389884494*sqrt(Abs(s - 0.175990304808468)) ; 0.109260877104342*sqrt(Abs(i))
62,0.8818453171402072,B0*s + B1*Abs(s)**(3/2) ; B2*i,0.402572087766538*s - 0.392384171822873*Abs(s)**(3/2) ; 0.103779215280675*i
63,0.8814997534163764,B0 + B1*sqrt(Abs(i)) ; B2*i + B3*i*r,0.155021542810667*sqrt(Abs(i)) - 0.0125927985235319 ; 0.159086271218987*i*r + 0.114779894891637*i
