rank,reward,equations,equations_with_constants
1,0.9384234373631047,B0*i*s ; B1 + B2*i,0.400543467212143*i*s ; 0.0996652126448109*i + 1.38211793924664e-5
2,0.9384216391293787,B0*i*s ; B1*i,0.400359637977643*i*s ; 0.0997173146104338*i
3,0.9197481523250168,B0 + B1*i*s ; B2*i,0.400535343447667*i*s - 1.20133037468938e-5 ; 0.0997101594409092*i
4,0.9197478438963477,B0*i*s ; B1*i + B2*r,0.400401341038959*i*s ; 0.099741103345323*i - 1.09929928572652e-5*r
5,0.9144422983724196,B0*i*s ; B1 + B2*sqrt(Abs(i)),-0.143709648542324*i*s ; 0.0174420929959623 - 0.183170690711078*sqrt(Abs(i))
6,0.9107153384352766,B0*i*s ; B1 + B3*sqrt(Abs(B2 + i)),0.401088865852035*i*s ; 0.26312468437244*sqrt(Abs(i + 1.56766508125183)) - 0.329618154655862
7,0.9062790862973512,B0*i*s ; B1*i*sqrt(Abs(i + r)),0.318025543235658*i*s ; 0.12174247535329*i*sqrt(Abs(i + r))
8,0.9016169145851971,B0*i + B1*i*s ; B2 + B3*i + B4*r,0.387836896744292*i*s + 0.0127176521670618*i ; 0.103638429140346*i - 4.85249090263092e-5*r - 9.12154429556475e-5
9,0.9016150349695127,B0*i + B1*i*s ; B2 + B3*i,0.386597040572112*i*s + 0.013236533208524*i ; 0.103847936295675*i - 0.00013615539734234
10,0.901547077114792,B0*i + B1*i*s ; i*sqrt(Abs(B2*r + B3)),0.386655111575569*i*s + 0.0205553561604352*i ; i*sqrt(Abs(0.00140587460149281*r - 0.0117444874986726))
11,0.9015469560406622,B0*i + B1*i*s ; B2*i + B3*i*r,0.386654947950173*i*s + 0.0206842789635675*i ; -0.00679178052428919*i*r + 0.108493923642594*i
12,0.9015402433996718,B0*i + B1*i*s ; B2*i,0.394246033126546*i*s + 0.00672887878634738*i ; 0.101531060195828*i
13,0.9015321191385643,B0*s + B1*i*s ; B2*i + B3*i*r,0.397854018479138*i*s + 1.29129533725271e-5*s ; 0.00332601356000084*i*r + 0.0982866232118925*i
14,0.9015319497474592,B0*i*s ; B1*i + B2*i*r,0.398147389599476*i*s ; 0.00319743586351139*i*r + 0.098353409472977*i
15,0.9015011299560218,B0*s + B1*i*s ; B2 + B3*i + B4*r,0.401024367238615*i*s - 0.000620623237772332*s ; 0.101323277343245*i + 0.000489906066215539*r - 0.000549955909414101
16,0.9014902098659571,B0*s + B1*i*s ; B2 + B3*i,0.402938026565091*i*s - 0.000198244279100303*s ; 0.100069888457124*i - 4.35647709446295e-5
17,0.9014799662381149,B0*s + B1*i*s ; B2*i,0.402558501454729*i*s - 0.000137897332962938*s ; 0.0998482100802843*i
