node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0', 'M0*M1'))",0.5614247357092159,0.045248346438560225,0.01341670452398864,101,1.7786529315880373,9.534357142711247,0.01935448702685042,0.10501869518751053,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0*M1'))",0.8957247740157992,0.13667156717686837,0.0570715231484145,62,1.8953843918295448,9.59848040966161,0.07280697894144685,0.24399569409813782,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.8642122218765979,0.1644621039593473,0.07172643910171266,38,2.017461842790614,9.704240232876447,0.07966873331799189,0.31286326853015084,False,False,14,4
"('INTERNAL', ('M0*M1*M2', 'B0*M0'))",0.9015402433996718,0.2931655726334144,0.11728374493789721,20,2.0847065090819705,9.780777766085306,0.14122598461684083,0.515038030268985,False,False,14,4
"('INTERNAL', ('M0', 'M0*i'))",0.8490681649767533,0.09491473943819706,0.04592568121777126,19,1.105921914290385,9.64722088693427,0.027686577732654233,0.30415833144158083,False,False,14,1
"('INTERNAL', ('M0 + M1', 'M0'))",0.17429218086206746,0.03157724738447091,0.0033379847864235582,13,0.8438496671605505,9.751994068475108,0.006426930886974651,0.2787986569164767,False,False,14,1
"('INTERNAL', ('M0', 'M0 + M1'))",0.030369659827116664,0.004621572390621369,9.156655768417332e-05,11,0.5663252549623665,9.75660180378942,0.0025846711521321066,0.2716293345507429,False,False,14,1
"('INTERNAL', ('M0 - M1', 'M0'))",0.030020779146256914,0.014865190043386966,0.00018811045260731676,11,0.9704755809945992,9.751886116991583,0.003838617804902519,0.2866458898256695,False,False,14,1
"('INTERNAL', ('M0*M1', 'M0'))",0.029909967648284647,0.004957318078226631,7.82963204121217e-05,11,1.7786529315880373,9.751886116991583,0.0026214790324993573,0.2721312065411734,False,False,14,1
"('INTERNAL', ('M0', 'M0 - M1'))",0.029849181678137614,0.005720047336082914,0.00012084656073097175,11,1.0288564377694789,9.759157723614658,0.0027061800603338216,0.27326876711636644,False,False,14,1
"('INTERNAL', ('sqrt(Abs(M0))', 'M0'))",0.029678346140223716,0.0036883941097599184,8.498364652157691e-05,11,0.9010419448123439,9.751886116991583,0.002483896834755168,0.27023075279127906,False,False,14,1
"('INTERNAL', ('M0', 'sqrt(Abs(M0))'))",0.029670796259291494,0.005784069908427046,0.00011803136880977395,11,0.5808320083152301,9.751886116991583,0.0027133581706895566,0.2733640915680055,False,False,14,1
"('INTERNAL', ('B0*M0*M1', 'B1*M0'))",0.9384216391293787,0.538098132348058,0.1172751206068375,10,2.0262285588075724,9.811479966238117,0.2611008061551556,0.7923876042002131,False,False,14,2
