node_hash,best_reward_seen,average_reward,variance_rewards,visit_count,L_bound,U_bound,lower_confidence_interval,upper_confidence_interval,is_terminal,is_invalid_constant,num_children,num_parents
"('INTERNAL', ('M0', 'M0*M1'))",0.9135172474313973,0.050726560072863205,0.02333266474366134,156,1.5161090247756945,9.358221209745148,0.023273793317072976,0.0928388213368994,False,False,14,2
"('INTERNAL', ('M0', 'B0*M0'))",0.8953382542191277,0.09527795413282068,0.045540537020798154,112,1.6258029342400226,9.403203283917799,0.05288638395967412,0.16463779586898916,False,False,14,4
"('INTERNAL', ('M0 + M1', 'B0*M0'))",0.8350974243830982,0.11481548488309633,0.04312419326575445,76,1.2864375919240345,9.520117621705223,0.06152339443150646,0.2060084842031203,False,False,14,6
"('INTERNAL', ('M0 + M1', 'B0*M0*M1'))",0.8944493492214404,0.09945485476794083,0.057389657707980546,38,1.2262455315668417,9.584927643726186,0.03968208207701069,0.23494995052002723,False,False,14,4
"('INTERNAL', ('M0*M1 + M2', 'B0*M0'))",0.8205722674664461,0.18380384720150275,0.07909245570856939,17,1.242226553980317,9.690396101022285,0.0679641765641729,0.42216707777277507,False,False,14,3
"('INTERNAL', ('M0', 'B0*i'))",0.6984593247964933,0.14080830188036272,0.05286556872736448,17,1.7079908820496685,9.660673053428841,0.046302760700896985,0.37420802707884215,False,False,7,5
"('INTERNAL', ('M0 + M1 + M2', 'B0*M0*M1'))",0.8855721701413717,0.13644421350159475,0.07633316382031494,14,1.0414979318853015,9.66595052620535,0.04055064256012326,0.39737953692156097,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*i'))",0.9135172474626956,0.312515566257815,0.1308167716775959,13,1.752741254055168,9.694678739372652,0.13052375340001734,0.5854245704219485,False,False,7,3
"('INTERNAL', ('M0 + M1', 'M0*M1'))",0.5905456836869198,0.06675641545596529,0.029019036046865187,12,1.225081230398833,9.67259015884348,0.014463268375958143,0.33978046660599315,False,False,14,2
"('INTERNAL', ('M0*M1', 'B0*M0'))",0.5153440734525895,0.2524858105326783,0.053144476203991056,11,1.7079908820496685,9.752978619971783,0.08861114039532089,0.5531311809349686,False,False,14,5
